Official Symbol Interactor A,Official Symbol Interactor B
Ptpra,Ppp2r1a
Ptpra,Ncam1
Ptpra,Ptprs
Ptpra,Ptpre
Ptpra,Ptprd
Ptpra,Ptprc
Ptpra,Cpne7
Ptpra,Ptpn4
Ptpra,Asap1
Ptpra,Dnm3
Ptpra,Egfr
Ptpra,Ptpn11
Ptpra,Ptprn2
Ptpra,Eif3g
Ptpra,Ptpn13
Ptpra,Ptpn6
Ptpra,Ptprk
Ptpra,Ptprm
Ptpra,1700021K19Rik
Ptpra,Tgfbrap1
Ptpra,Uvrag
Ppp2r1a,Ptpra
Ppp2r1a,Unc5b
Ppp2r1a,Dppa3
Ppp2r1a,Ccdc43
Ppp2r1a,Stk24
Ppp2r1a,Stub1
Ppp2r1a,Arhgef7
Ppp2r1a,Csdc2
Ppp2r1a,Mark4
Ppp2r1a,Pin1
Ppp2r1a,Ppme1
Ppp2r1a,Ppp2r2d
Ppp2r1a,Psip1
Ppp2r1a,Strn3
Ppp2r1a,Zfand6
Pcna,Rev1
Pcna,Polb
Pcna,Polk
Pcna,Pik3cb
Pcna,Nbn
Pcna,Gadd45a
Pcna,Apex1
Pcna,Cdipt
Pcna,Rap1b
Pcna,Spag1
Pcna,Ybx1
Pcna,Trim28
Pcna,Suv39h1
Trappc5,Trappc3
Trappc5,Trappc6b
Trappc5,Trappc4
Trappc5,Trappc2
Trappc5,Trappc2l
Trappc2,Trappc3
Trappc2,Trappc5
Trappc3,Trappc1
Trappc3,Fasn
Trappc3,Trappc2l
Trappc3,Trappc4
Trappc3,Trappc5
Trappc3,Trappc6b
Trappc4,Trappc1
Trappc4,Trappc2l
Msl1,Ttc4
Msl1,Pih1d1
Msl1,Kat8
Kat8,Msl1
Kat8,Nelfcd
Kat8,Sycp3
Kat8,Sirt1
Kat8,Phf20
Rassf1,Rnf10
Rassf1,Mdm2
Pknox1,Pbx2
Pknox1,Actb
Pknox1,Mybbp1a
Pknox1,Myh9
Pknox1,Pbx1
Pknox1,Rps3a1
Zeb1,Ctbp1
Zeb1,Ctbp2
Zeb1,Abt1
Zeb1,Deaf1
Zeb1,Nr4a3
Zeb1,Rcor2
Zeb1,Tfap2d
Zeb1,Wwtr1
Anapc2,Invs
Anapc2,Cdc16
Anapc2,Cyp2u1
Anapc2,Cyp4f18
Anapc2,Tysnd1
Tceb1,Socs1
Tceb1,Tceb2
Tceb1,Cul3
Tceb1,Lage3
Tceb1,Cul2
Tceb1,Cul5
Tceb1,Osgep
Tceb1,Rnf7
Tceb1,Ubxn7
Tceb1,Zer1
Tceb1,Sat2
Ptprf,Ctnnb1
Ptprf,Fyn
Ptprf,Ptpra
Ptprf,Apob
Ptprf,Armc8
Ptprf,Dbr1
Ptprf,Nell1
Ptprf,Ptpn13
Ptprf,Ptpn6
Ptprf,Ptprk
Ptprf,Ptprm
Ptprf,Ptprq
Ptprf,Ptprs
Ptprf,Ptpru
Ptprf,Srp54a
Ptprf,Vps13a
Grb2,Cbl
Grb2,Pik3r1
Grb2,Met
Grb2,Dvl2
Grb2,Egfr
Grb2,Cpne2
Grb2,4732456N10Rik
Grb2,Bcr
Grb2,Lrrk1
Grb2,Ybx1
Grb2,Prnp
Grb2,Nf2
Grb2,Spry1
Grb2,Spry2
Grb2,Spry3
Grb2,Spry4
Grb2,Sos1
Grb2,Cd22
Grb2,Gab2
Grb2,Shc1
Grb2,Btla
Grb2,Gab1
Grb2,Lcp2
Grb2,Pdgfrb
Grb2,Syp
Grb2,Ngfr
Grb2,Dnajb11
Grb2,Eps15l1
Grb2,Msi2
Grb2,Pdlim5
Grb2,Sema7a
Grb2,Stard10
Grb2,Stk32c
Grb2,Crk
Grb2,Mical1
Grb2,Myh9
Grb2,Nfs1
Grb2,Plcg1
Grb2,Plcg2
Grb2,Ptpn23
Grb2,Sh3kbp1
Grb2,Bre
Grb2,Ptpn18
Pik3r1,Cbl
Pik3r1,Irs1
