lncRNA,score
NEAT1,0.033355943
MALAT1,0.0112727
U1,0.004749173
hTR,0.000263866
HOTAIR,0.000261505
RMRP,0.000234368
SNHG1,0.000226095
XIST,0.000220856
GAS5,0.000199197
PVT1,0.000183921
NONHSAG013514,0.000157351
RPPH1,0.00015363
BCYRN1,0.000145008
U3,0.000134917
7SK,0.000132516
SNHG5,0.000125643
SNHG3,0.000120487
h19,0.000113562
CRNDE,0.000111021
DANCR,0.000105424
TUG1,0.000105298
SOX2-OT,0.000104861
SNHG6,0.000101806
ZNF518A,1.00E-04
JPX,9.99E-05
SCARNA17,9.88E-05
AC084018.1,9.82E-05
RNU12,9.63E-05
MCM3AP-AS1,9.53E-05
TTC28-AS1,9.06E-05
ZNF33B,8.94E-05
C17orf76-AS1,8.91E-05
KCNQ1OT1,8.75E-05
OIP5-AS1,8.35E-05
SNHG7,8.32E-05
SNHG11,8.27E-05
CTC-228N24.3,8.23E-05
POLR2J4,8.21E-05
ZEB1-AS1,8.15E-05
DHRS4-AS1,7.92E-05
SNHG12,7.78E-05
RP1-85F18.6,7.69E-05
ZNF718,7.64E-05
LINC00511,7.48E-05
7SL,7.46E-05
CDKN2B-AS1,7.36E-05
HNF1A-AS1,7.18E-05
CASP8AP2,7.02E-05
LINC00324,6.79E-05
LINC00630,6.65E-05
LINC00472,6.61E-05
SCARNA9,6.61E-05
LOC100131564,6.45E-05
RP11-8L2.1,6.42E-05
JRK,6.38E-05
CTC-338M12.2,6.29E-05
SNHG15,6.23E-05
MIR181A2HG,6.09E-05
AF131217.1,6.07E-05
CTD-2047H16.4,6.06E-05
LOC92249,6.05E-05
MAGI2-AS3,6.05E-05
RP11-328M4.2,6.01E-05
ZNF761,5.94E-05
DDX5,5.90E-05
NYX,5.89E-05
SUZ12P,5.81E-05
SNHG10,5.77E-05
Y_RNA,5.39E-05
LOC730101,5.36E-05
LOC284801,5.31E-05
TP73-AS1,5.30E-05
MIR210HG,5.27E-05
RP4-613B23.1,5.16E-05
SNHG8,5.10E-05
CUDR,5.04E-05
DLEU1,5.01E-05
MIR22HG,4.99E-05
BX322557.10,4.99E-05
TSIX,4.96E-05
HOXA11-AS,4.93E-05
LOC100129931,4.90E-05
NONHSAG004866,4.79E-05
TINCR,4.77E-05
ZEB2-AS1,4.71E-05
LINC00152,4.70E-05
CTC-338M12.3,4.62E-05
AC105402.4,4.62E-05
AC074117.10,4.62E-05
NONHSAG036921,4.61E-05
RPL17,4.50E-05
CASC9,4.44E-05
ZNF767,4.42E-05
AC005682.5,4.36E-05
HULC,4.31E-05
LINC00273,4.31E-05
CALR,4.31E-05
FBXL19-AS1,4.26E-05
UBXN8,4.23E-05
HOTTIP,4.22E-05
AC073283.4,4.20E-05
THAP7-AS1,4.17E-05
LINC00305,4.15E-05
AZIN1,4.09E-05
BCAR4,4.04E-05
GS1-124K5.11,4.03E-05
C14orf37,4.03E-05
C6orf3,4.02E-05
SOX21-AS1,3.98E-05
AC006465.3,3.98E-05
MIR31HG,3.98E-05
RP11-258C19.5,3.95E-05
LINC00963,3.90E-05
AC018890.6,3.89E-05
RPL32P3,3.85E-05
ZNRD1-AS1,3.83E-05
RP11-37B2.1,3.80E-05
LINC00052,3.79E-05
AC012307.3,3.79E-05
AC074391.1,3.78E-05
MATR3,3.72E-05
LINC00467,3.70E-05
RP11-326F20.5,3.70E-05
PLK1S1,3.69E-05
AC084219.4,3.66E-05
LOC100506548,3.62E-05
RP11-215A19.1,3.62E-05
RP4-604K5.1,3.61E-05
RP11-421L21.3,3.60E-05
RAMP2-AS1,3.58E-05
GATAD2A,3.58E-05
ZBTB20,3.58E-05
ABCA11P,3.57E-05
RP11-65J3.1,3.56E-05
GS1-122H1.2,3.55E-05
MLLT10,3.53E-05
RP11-159F24.1,3.53E-05
ARHGAP11B,3.53E-05
RP11-420A23.1,3.53E-05
CTD-2337A12.1,3.52E-05
RP11-222A11.1,3.51E-05
TPTE2P5,3.51E-05
RALY,3.47E-05
RP11-69E11.4,3.44E-05
LYPLA1,3.43E-05
RB1CC1,3.43E-05
AC009948.5,3.42E-05
BREA2,3.41E-05
UBE2B,3.40E-05
AL163953.3,3.38E-05
AC131025.8,3.38E-05
AGAP2-AS1,3.37E-05
EEA1,3.36E-05
RP11-463O9.5,3.32E-05
RP11-545D19.1,3.30E-05
NONHSAG026010,3.30E-05
RP11-554F20.1,3.30E-05
RP11-22P4.1,3.29E-05
RP11-108M21.1,3.29E-05
LOC100506710,3.29E-05
RP11-506M12.1,3.27E-05
RNF19A,3.27E-05
RP11-307L3.4,3.26E-05
RP11-109P11.1,3.25E-05
ZNF271,3.25E-05
Ftx,3.24E-05
PCA3,3.21E-05
LOC100128714,3.16E-05
RP11-11N9.4,3.15E-05
AC156455.1,3.15E-05
CTA-714B7.5,3.15E-05
CTB-35F21.1,3.13E-05
RP11-732M18.3,3.13E-05
TCAM1P,3.13E-05
IGF2-AS,3.10E-05
HOXD-AS1,3.08E-05
ACTB,3.08E-05
RP11-486O13.4,3.07E-05
RP5-1120P11.1,3.06E-05
XXbac-BPG308K3.5,3.06E-05
CTD-2049J23.2,3.05E-05
NISCH,3.04E-05
GHR,3.03E-05
ANP32B,3.03E-05
ZNF37BP,3.02E-05
RP11-475O6.1,3.01E-05
AC016747.3,3.01E-05
PCNP,3.01E-05
RP11-282I1.1,3.00E-05
EMX2OS,3.00E-05
NKX2-2-AS1,2.99E-05
RP5-1074L1.1,2.98E-05
HTR7P1,2.98E-05
SETD5,2.96E-05
NRON,2.96E-05
LOC728613,2.96E-05
NPPA-AS1,2.95E-05
RP11-734I18.1,2.95E-05
AC026188.1,2.94E-05
RBM39,2.94E-05
AC004840.9,2.94E-05
RP11-46C20.1,2.93E-05
RP11-527F13.1,2.93E-05
ZNF204P,2.91E-05
RP11-125B21.2,2.90E-05
SHROOM3,2.89E-05
VEGFA,2.89E-05
AC114765.1,2.86E-05
RP11-875O11.1,2.85E-05
AE000661.37,2.84E-05
AC007682.1,2.82E-05
PBX1,2.81E-05
LOC399815,2.80E-05
SPARC,2.80E-05
SULF1,2.80E-05
RP11-1114A5.4,2.80E-05
LINC00294,2.80E-05
RP11-644C3.1,2.77E-05
CHD8,2.76E-05
AP000476.1,2.76E-05
RP11-716O23.1,2.76E-05
FOXD2-AS1,2.75E-05
SLMO2,2.73E-05
AC004053.1,2.70E-05
RP11-267A15.1,2.70E-05
PIK3C2A,2.70E-05
AC004980.7,2.69E-05
LOC645513,2.69E-05
PDLIM5,2.69E-05
ITGB1,2.69E-05
RP11-318M2.2,2.68E-05
SF3B1,2.68E-05
AC104820.2,2.67E-05
FNDC3B,2.66E-05
DTNA,2.65E-05
ARGLU1,2.64E-05
ENAH,2.64E-05
Ednra,2.64E-05
BNIP2,2.61E-05
AC133680.1,2.61E-05
CALD1,2.60E-05
RP5-921G16.1,2.59E-05
CNTN4-AS2,2.59E-05
MIR205HG,2.59E-05
ZFAS1,2.58E-05
PCDH7,2.58E-05
HIF1A-AS2,2.58E-05
TCERG1,2.57E-05
RP11-685M7.5,2.57E-05
APBB2,2.57E-05
RP11-276H19.1,2.56E-05
LOC340515,2.56E-05
ZFAND5,2.56E-05
SUMF1,2.55E-05
CSNK1E,2.54E-05
RP11-420A21.1,2.54E-05
AC010677.5,2.54E-05
DPY19L2P2,2.53E-05
AC093901.1,2.53E-05
LOC100506844,2.52E-05
CA5BP1,2.52E-05
RP11-386G11.10,2.50E-05
C1orf132,2.49E-05
CTB-89H12.4,2.49E-05
TLK1,2.49E-05
AC108463.1,2.49E-05
IFNG-AS1,2.49E-05
CTD-2666L21.1,2.48E-05
FRY,2.48E-05
LRRFIP2,2.47E-05
CISD1,2.47E-05
RP11-3J1.1,2.47E-05
FMR1-AS1,2.47E-05
AC007405.6,2.47E-05
ITFG2,2.46E-05
AC007563.5,2.46E-05
RP11-625I7.1,2.45E-05
RP11-536C5.7,2.45E-05
EIF4B,2.44E-05
LINC00657,2.44E-05
RP1-35C21.2,2.44E-05
RP11-389K14.3,2.43E-05
AC009133.12,2.42E-05
AP000473.5,2.41E-05
LINC00847,2.41E-05
SCARNA10,2.40E-05
AC006296.3,2.38E-05
RP1-102H19.6,2.38E-05
SLC38A2,2.38E-05
ZRANB2,2.37E-05
RP5-896L10.1,2.37E-05
AC012593.1,2.37E-05
RP11-526A4.1,2.37E-05
FAM149B1,2.36E-05
HCG17,2.36E-05
RP11-37N22.1,2.36E-05
LOC100130987,2.35E-05
RP3-341D10.4,2.35E-05
RP11-139E24.1,2.35E-05
RP11-406O16.1,2.35E-05
AP001597.1,2.34E-05
SNHG17,2.34E-05
SNX13,2.33E-05
CRYBB2P1,2.33E-05
MIR155HG,2.31E-05
PHB2,2.31E-05
RP1-234P15.4,2.31E-05
GLS,2.29E-05
RP11-519G16.2,2.28E-05
RP11-656A15.1,2.28E-05
PINK1-AS,2.28E-05
RP4-561L24.3,2.28E-05
ADK,2.27E-05
AC090505.6,2.27E-05
RP11-217B1.2,2.26E-05
CTC-573M9.1,2.23E-05
MORF4L2,2.21E-05
PPP1CB,2.21E-05
RP11-968A15.8,2.19E-05
NUPL2,2.18E-05
NPLOC4,2.17E-05
RP3-400B16.1,2.17E-05
SNHG16,2.14E-05
RP4-697P8.3,2.14E-05
SORBS2,2.14E-05
RP11-216C10.1,2.13E-05
RP11-217C7.1,2.12E-05
AGL,2.12E-05
RP11-774O3.3,2.11E-05
LINC00338,2.11E-05
DLC1,2.11E-05
RP1-212P9.2,2.10E-05
FGD5-AS1,2.10E-05
GRAMD1A,2.10E-05
RP11-440L14.1,2.10E-05
RP1-90L6.2,2.08E-05
NONHSAG056025,2.08E-05
RP11-540N6.1,2.07E-05
PTCSC3,2.06E-05
RP11-527N22.1,2.06E-05
PPP1R12B,2.05E-05
FEZF1-AS1,2.05E-05
PDZD2,2.05E-05
RP11-33N16.3,2.04E-05
