lncRNA,score
NEAT1,0.0333559432488
MALAT1,0.011272700497
U1,0.00474917329477
U2,0.00206269183227
hTR,0.000263866480283
HOTAIR,0.000261504680001
RMRP,0.000234367568551
SNHG1,0.000226094538854
XIST,0.000220856129651
GAS5,0.000199197302922
PVT1,0.000183921314925
NONHSAG013514,0.000157350760643
RPPH1,0.000153629521258
BCYRN1,0.00014500832326
U3,0.00013491660477
7SK,0.000132515892222
scAlu RNA,0.000130755211987
PAN RNA,0.000126146229353
SNHG5,0.000125642894127
SNHG3,0.000120487050128
h19,0.000113562028802
CRNDE,0.000111020630437
TP53TG1,0.000110561075709
DANCR,0.000105424308316
TUG1,0.000105298043224
SOX2-OT,0.000104860690383
SNHG6,0.00010180638084
ZNF518A,9.9983714165e-05
JPX,9.99029821126e-05
SCARNA17,9.87888722167e-05
AC084018.1,9.82050233879e-05
RNU12,9.63444358952e-05
MCM3AP-AS1,9.52934113861e-05
TTC28-AS1,9.06488271775e-05
SEC22B,9.03182918006e-05
ZNF33B,8.94340889736e-05
C17orf76-AS1,8.90671187864e-05
KCNQ1OT1,8.75138979544e-05
OIP5-AS1,8.34875369286e-05
SNHG7,8.32063524649e-05
SNHG11,8.27316954927e-05
CTC-228N24.3,8.22528935806e-05
POLR2J4,8.21251006797e-05
ZEB1-AS1,8.14536449895e-05
DHRS4-AS1,7.9208929303e-05
SNHG12,7.78220394465e-05
RP1-85F18.6,7.69427607147e-05
ZNF718,7.64070622621e-05
LINC00511,7.48215819439e-05
7SL,7.46085109798e-05
CDKN2B-AS1,7.36453293091e-05
HNF1A-AS1,7.1847464906e-05
CASP8AP2,7.02459014431e-05
LINC00324,6.78545787703e-05
LINC00630,6.64969212396e-05
LINC00472,6.6097328015e-05
SCARNA9,6.60886314487e-05
CHD2,6.5553851257e-05
lncRNA-GAS5,6.53802811058e-05
LOC100131564,6.45447614957e-05
RP11-8L2.1,6.41898641978e-05
MIR1792,6.41576115129e-05
JRK,6.37547748669e-05
SPPL2B,6.35445704424e-05
CTC-338M12.2,6.28675552853e-05
SNHG15,6.22929147617e-05
MIR181A2HG,6.08946823164e-05
AF131217.1,6.0690351993e-05
CTD-2047H16.4,6.06064109583e-05
LOC92249,6.05119774996e-05
MAGI2-AS3,6.04735063568e-05
RP11-328M4.2,6.01023183722e-05
ZNF761,5.93947574559e-05
DDX5,5.89610290127e-05
NYX,5.88686906908e-05
SNORA67,5.86865049611e-05
SUZ12P,5.80891989438e-05
SNHG10,5.76868152776e-05
ZNF598,5.59293674073e-05
Y_RNA,5.3935159546e-05
LOC730101,5.35839922773e-05
LOC284801,5.31408367158e-05
TP73-AS1,5.30316773274e-05
MIR210HG,5.26766258832e-05
