lncRNA,score
NEAT1,0.491943871
MALAT1,0.476084117
U1,0.460238209
XIST,0.450274125
SNHG5,0.449839587
SNHG1,0.44976338
RPPH1,0.449551464
GAS5,0.449237268
RMRP,0.448999433
NONHSAG013514,0.448781639
TUG1,0.44876185
RNU12,0.448590418
AC084018.1,0.448521223
C17orf76-AS1,0.44809006
OIP5-AS1,0.44807362
JPX,0.448067044
PVT1,0.447952
SNHG3,0.44753505
MCM3AP-AS1,0.446687136
TTC28-AS1,0.446527081
SNHG7,0.446096483
LINC00657,0.446096483
LOC100131564,0.446067154
SNHG17,0.44585545
ZNF518A,0.445832663
SNHG10,0.445679726
RP11-325F22.3,0.445500889
FGD5-AS1,0.445322196
LINC00324,0.445283228
CTB-89H12.4,0.445075511
RP3-399L15.3,0.445017126
SOX2-OT,0.445010639
SNHG16,0.44496524
LOC92249,0.444864747
SCARNA17,0.444855024
ZFAS1,0.444829099
RP1-85F18.6,0.44475458
RP11-885B4.1,0.444621805
SNHG12,0.444492345
CRNDE,0.444359726
AC074117.10,0.444353259
CTC-228N24.3,0.444298296
LINC00969,0.444243346
AC016629.8,0.444236882
MIR181A2HG,0.444201335
RP1-43E13.2,0.444156101
RP11-2B6.3,0.444139948
SNHG6,0.444123796
LINC00894,0.444097956
MAGI2-AS3,0.443997854
LINC00338,0.443991397
KCNQ1OT1,0.443981713
RP4-561L24.3,0.443939751
CASC7,0.443891343
TMEM161B-AS1,0.443855851
EPB41L4A-AS1,0.443823591
ATP1A1OS,0.443807462
CASP8AP2,0.443681699
LINC00963,0.443665581
SNHG8,0.443617233
SAP30L-AS1,0.443588229
AC004158.2,0.443556007
TTN-AS1,0.443520569
C1orf132,0.443407847
AC007246.3,0.443401408
ZEB1-AS1,0.443279093
SCARNA9,0.44320831
CTC-338M12.3,0.443176143
RP11-968A15.8,0.443156845
AC005154.5,0.44312147
RP11-453F18__B.1,0.443066811
SNHG15,0.442941468
CTD-2047H16.4,0.442841886
CTD-2201E18.3,0.442812984
AC005562.1,0.442803351
PSMD5-AS1,0.4427263
JRK,0.442658902
GABPB1-AS1,0.442630023
LINC00472,0.442575485
RP11-258C19.5,0.442543411
PTCHD3P1,0.442514547
AC018737.1,0.442504927
LINC00152,0.442495307
RP11-33N16.3,0.442495307
RP11-440L14.1,0.4424921
DANCR,0.4424921
RP11-217B1.2,0.442415158
ZNF761,0.442379901
BZRAP1-AS1,0.442351059
MAGI1,0.442331833
ZNF33B,0.442325425
hTR,0.442319017
RP4-613B23.1,0.442178085
RAB30-AS1,0.442158874
RP11-166B2.8,0.442133262
CTD-2007H13.3,0.442078847
RP11-159D12.2,0.442066045
LINC00958,0.442050044
AC058791.1,0.442005247
NR2F1-AS1,0.442002048
ZNRD1-AS1,0.441941267
RP11-685M7.5,0.44193487
SDCBP2-AS1,0.44191568
RP11-84A19.4,0.441838938
POLR2J4,0.44181656
RP11-739N20.2,0.44180697
RP11-475N22.4,0.441778202
BX322557.10,0.441739851
PCBP1-AS1,0.441736656
RP11-386G11.10,0.441707898
DHRS4-AS1,0.44160887
NUTM2A-AS1,0.441583322
RP11-983P16.4,0.441570549
LINC00669,0.441541812
AC007319.1,0.441493926
NPSR1-AS1,0.441474774
CTD-2659N19.10,0.441468391
RP11-227G15.3,0.441426903
RP11-631N16.2,0.441423712
RP4-665J23.1,0.441410948
RP11-344E13.3,0.441404566
RP11-248G5.8,0.441369471
AC015849.19,0.44135033
MIR22HG,0.44133438
RP11-67A1.2,0.441324811
AC073283.4,0.441312053
AC009133.12,0.441261028
RP1-184J9.2,0.441238709
HOXD-AS1,0.441229144
ZNF205-AS1,0.441229144
CECR7,0.441139891
HOXB-AS1,0.441127144
NONHSAG053814,0.44112077
AC009120.6,0.441088906
RP11-753H16.3,0.441088906
MIR210HG,0.441079348
RP11-161H23.5,0.441063418
AP002954.4,0.441031562
RP11-69L16.4,0.441025191
KB-1208A12.3,0.440980602
SCARNA2,0.440964679
LIMD1-AS1,0.440948757
CTA-217C2.1,0.440926469
CTD-2537I9.12,0.440878717
RP4-803A2.2,0.440859618
AC105402.4,0.440789606
RP11-530C5.1,0.440767334
RP11-580I16.2,0.440767334
NR2F2-AS1,0.440767334
RP11-24N18.1,0.440754608
HIF1A-AS2,0.440729158
RP4-785G19.5,0.440725977
RP11-362A9.3,0.440716435
RP11-950C14.7,0.440713254
STXBP5-AS1,0.440706892
RP11-703M24.5,0.440643288
LINC00534,0.44062421
CTB-12A17.3,0.44062421
RP11-977G19.5,0.44062103
AC107081.5,0.440595596
CTB-175E5.7,0.440595596
NONHSAG017678,0.44058288
RP11-395P17.11,0.440557451
CTC-457E21.9,0.440554272
RP5-1057J7.6,0.440516133
ZNF718,0.440500244
RP11-315I20.1,0.440497067
SCARNA10,0.440474824
AC073343.13,0.440471647
RP11-603J24.17,0.440452584
AC015987.1,0.440449407
RP11-307P5.1,0.440436699
RP11-1017G21.4,0.440433523
