lncRNA,score
NEAT1,0.491943870558
MALAT1,0.476084116582
U1,0.460238209162
XIST,0.450274124729
SNHG5,0.449839586847
SNHG1,0.449763380475
RPPH1,0.449551463782
GAS5,0.449237267903
RMRP,0.44899943291
NONHSAG013514,0.448781638618
TUG1,0.448761849614
RNU12,0.448590417985
AC084018.1,0.448521223103
C17orf76-AS1,0.448090060297
OIP5-AS1,0.448073620124
JPX,0.448067044393
PVT1,0.44795200033
SNHG3,0.447535050365
MCM3AP-AS1,0.446687136084
TTC28-AS1,0.446527081169
SNHG7,0.446096482959
LINC00657,0.446096482959
LOC100131564,0.446067154231
SNHG17,0.445855450082
ZNF518A,0.445832663159
CHD2,0.445692737429
SNHG10,0.445679725547
RP11-325F22.3,0.445500889184
FGD5-AS1,0.445322196286
LINC00324,0.445283227793
CTB-89H12.4,0.445075510958
RP3-399L15.3,0.445017125511
SOX2-OT,0.445010639184
SNHG16,0.444965240193
LOC92249,0.444864746812
SCARNA17,0.444855024055
ZFAS1,0.444829098781
RP1-85F18.6,0.444754580446
RP11-885B4.1,0.444621805318
SNHG12,0.444492344984
CRNDE,0.44435972636
AC074117.10,0.444353259183
CTC-228N24.3,0.444298295779
LINC00969,0.44424334597
AC016629.8,0.44423688218
MIR181A2HG,0.444201334698
RP1-43E13.2,0.444156100675
RP11-2B6.3,0.4441399479
SNHG6,0.444123796299
LINC00894,0.444097956181
SEC22B,0.44407211907
MAGI2-AS3,0.443997854119
LINC00338,0.443991397471
KCNQ1OT1,0.443981712851
RP4-561L24.3,0.443939751046
CASC7,0.443891343435
TMEM161B-AS1,0.443855851229
EPB41L4A-AS1,0.443823590511
ATP1A1OS,0.443807461911
CASP8AP2,0.443681699051
LINC00963,0.443665580761
SNHG8,0.44361723292
SAP30L-AS1,0.443588229272
AC004158.2,0.443556007445
TTN-AS1,0.443520568841
C1orf132,0.443407847312
AC007246.3,0.443401407813
AC069277.2,0.443320929846
ZEB1-AS1,0.443279092847
SCARNA9,0.443208309758
CTC-338M12.3,0.443176143099
RP11-968A15.8,0.443156845345
AC005154.5,0.443121470493
RP11-453F18__B.1,0.443066811375
SNHG15,0.442941467865
CTD-2047H16.4,0.442841886423
CTD-2201E18.3,0.442812984067
AC005562.1,0.442803350787
PSMD5-AS1,0.442726299633
RP11-119F19.2,0.442700621874
JRK,0.442658901867
GABPB1-AS1,0.442630023391
LINC00472,0.442575485439
RP11-258C19.5,0.442543410567
PTCHD3P1,0.442514547158
AC018737.1,0.442504926859
LINC00152,0.442495306977
RP11-33N16.3,0.442495306977
RP11-440L14.1,0.442492100443
DANCR,0.442492100443
RP11-217B1.2,0.442415157561
ZNF761,0.442379901016
BZRAP1-AS1,0.442351058931
MAGI1,0.442331832963
ZNF33B,0.442325424679
hTR,0.44231901658
RP4-613B23.1,0.442178085368
RAB30-AS1,0.442158874433
RP11-166B2.8,0.44213326245
CTD-2007H13.3,0.442078846836
RP11-159D12.2,0.442066045109
LINC00958,0.442050043992
AC058791.1,0.442005247028
NR2F1-AS1,0.442002047592
ZNRD1-AS1,0.441941267112
RP11-685M7.5,0.44193487014
SDCBP2-AS1,0.441915680332
RP11-84A19.4,0.441838937764
POLR2J4,0.441816559536
RP11-739N20.2,0.441806969561
RP11-475N22.4,0.441778202132
BX322557.10,0.441739851388
PCBP1-AS1,0.441736655793
RP11-386G11.10,0.44170789752
