lncRNA,score
NEAT1,0.021823851602801845
MALAT1,0.019381196359145977
RP11-968A15.8,0.01757218192209265
LINC00657,0.01733201166364932
RP11-33N16.3,0.017312253920920905
SNHG5,0.01728491240958168
SNHG1,0.017252931659932438
BZRAP1-AS1,0.017130312931901818
RNU12,0.017103705120871747
RP11-325F22.3,0.017098883685362186
RP11-440L14.1,0.01709419207059317
GAS5,0.017087116970249998
SNHG17,0.017050162885421362
RP11-685M7.5,0.017014171987088173
C17orf76-AS1,0.016998200196497643
SDCBP2-AS1,0.016912435482070942
RP11-166B2.8,0.016910745045267603
SNHG3,0.016909086465011876
PVT1,0.016900121125463297
RPPH1,0.0168887137279734
RP11-344E13.3,0.01688027956357717
RP11-983P16.4,0.01681086879341721
SNORA76,0.01678912660686386
ZNF518A,0.01677230472920219
SNHG7,0.016765610570247017
RP11-227G15.3,0.016755955899222907
ZFAS1,0.01674358117193323
RMRP,0.01670746904779823
SNHG16,0.016705648441220095
RP4-613B23.1,0.016677594818099377
PCBP1-AS1,0.01667747866770945
RP11-386G11.10,0.016599252497518584
RP1-184J9.2,0.01657807565132354
NONHSAG013514,0.016521505567402842
AC009133.12,0.01652108393713289
RP11-161H23.5,0.01647182735550589
AC007319.1,0.016469286314945777
CTB-89H12.4,0.016464771303968798
RP11-84A19.4,0.01640254690399942
CTD-2537I9.12,0.016394572351398396
SNHG12,0.016384289604181475
FGD5-AS1,0.016373508181011888
RP11-69L16.4,0.01637257897663349
RP11-24N18.1,0.016368967721193773
TUG1,0.016324562761761155
RP11-603J24.17,0.016319585607588144
SCARNA2,0.016310804449140445
OIP5-AS1,0.016291977597411123
RP11-67A1.2,0.016260628065497707
KB-1208A12.3,0.016256137698319354
RP11-580I16.2,0.016248606696110945
SCARNA17,0.016226098554514692
SOX2-OT,0.01622314847250229
RP1-43E13.2,0.01622061218665626
NONHSAG017678,0.016198325855200955
AC015849.19,0.016196466079234
RP3-399L15.3,0.016196389928792264
SNHG8,0.016167258680131268
SNHG10,0.016135814565322024
CTB-175E5.7,0.016131038423534402
ATP1A1OS,0.01610929023948675
RP4-803A2.2,0.01610353736558377
LINC00338,0.016090241171193023
CTD-2659N19.10,0.01608540359287862
AC009120.6,0.016081468689535642
RP11-977G19.5,0.01608069326710745
RP4-785G19.5,0.016059219696826346
AC084018.1,0.016046443435427667
RP11-63M22.2,0.01604458468929273
RP11-950C14.7,0.01604225735530534
SCARNA10,0.016027659542754098
CROCCP2,0.016009436437775502
RP11-703M24.5,0.01599238134048328
RP11-739N20.2,0.015982832096289524
SNHG6,0.015935082796019684
RP11-304L19.5,0.01590527033218451
SNORD3A,0.015898010683847927
LIMD1-AS1,0.015884415548647706
LINC00969,0.015870496178571523
JPX,0.015841627595699945
RP11-885B4.1,0.015837269417493086
SPPL2B,0.015820865669206326
CHD2,0.015820490441818394
MIR1539,0.015817361319085167
RP11-571M6.7,0.015805747537340348
RP11-204L24.2,0.0157685969846322
RP11-355B11.2,0.015758204929948352
EPB41L4A-AS1,0.01575661850278438
RP11-296K13.4,0.015749844982234237
RP11-203B9.4,0.015740915558295456
RP11-206L10.8,0.01572663866197272
KCNQ1OT1,0.015725041410335913
NONHSAG002378,0.015713986849873973
SPAG5-AS1,0.015713723713105275
RP11-544A12.4,0.015711928023037152
AC010226.4,0.01570991639823524
AC016629.8,0.015707129571321362
DANCR,0.01569496001332793
AP002954.4,0.015693120883031396
RP11-69E11.8,0.01568955398216142
PRC1-AS1,0.015687345022949283
STAG3L5P,0.01567616104025952
RP11-849F2.5,0.015670839759775273
SCARNA9,0.01565780247672005
CTD-2047H16.4,0.01565451678892895
RP11-2B6.3,0.015642515537843637
RP1-167A14.2,0.015604575146834757
RP11-1017G21.4,0.015600464026241516
AC015987.1,0.0155930322057565
CTB-12A17.3,0.015567437198171033
CTD-2571L23.8,0.015553476066238017
MCM3AP-AS1,0.015542552728327368
AC107081.5,0.015534587454007225
NONHSAG053814,0.0155249485593429
RP4-561L24.3,0.015512736003661366
CTC-457E21.9,0.015490083109978297
RP11-1035H13.2,0.015489950104226704
RP5-940J5.6,0.015486183939406229
AC073343.13,0.015484400687692494
LINC00894,0.01546663347702276
RP11-106M3.2,0.015465006567244442
RP11-530C5.1,0.015428335814706703
RP5-1085F17.4,0.01538733080062939
AP000487.6,0.015379926211064713
AC005042.4,0.0153694748390517
RP11-521B24.5,0.015369457103434816
NR2F2-AS1,0.015351761355458807
AC083884.8,0.015335164043347518
IDI2-AS1,0.01532782804355843
RP5-977B1.11,0.01530451844491916
CTD-2013N24.2,0.01527715462960021
RP4-622L5.2,0.01527249955298852
RP11-418J17.1,0.015271540069529316
RP1-1J6.2,0.015266771455716662
CTC-338M12.3,0.015262348663075662
RUSC1-AS1,0.015249355966520144
RP11-566K11.7,0.015245739183327892
LOC100131564,0.01523486260914391
HCP5,0.015230733907215379
RP4-584D14.5,0.015215699465992903
AC017101.10,0.015211340612462168
RP11-474P2.2,0.015206685491444145
RP5-842K24.2,0.015198919417943994
RP11-473I1.9,0.015191868303398064
HIF1A-AS2,0.015186041519380428
NONHSAG020671,0.015186037688131192
RP5-940J5.9,0.015179097203175552
TMEM161B-AS1,0.015143677486139609
ZRANB2-AS1,0.015142341725177958
AC007246.3,0.015142027780191483
C22orf43,0.015112397565834415
RP11-307P5.1,0.015097530432665011
SEC22B,0.015077794160764935
USP3-AS1,0.015065285837969618
AL589743.1,0.015048692724926345
NONHSAG056025,0.015047719008936727
RP11-442H21.2,0.015016068018679921
AC074117.10,0.015015768191262697
RP11-753H16.3,0.015009786468670471
RP11-54O7.14,0.015007090216532756
CTC-425F1.4,0.015004551029424868
LIPE-AS1,0.014973403300948795
RP3-508I15.18,0.014973109692504575
RP11-120M18.2,0.014965061448439003
RP11-519G16.2,0.014945703192338419
RP1-168P16.2,0.01494261551518469
AC026202.3,0.014931592406497947
RP11-217B1.2,0.014929980858086962
GABPB1-AS1,0.01492490813997021
CASP8AP2,0.014905414932764222
CTB-171A8.1,0.014891495400331536
RP11-382A20.7,0.01488322726189395
AC005682.5,0.014872122639179664
RP11-298I3.1,0.014869205421675505
TTN-AS1,0.014868876506481067
RP11-315I20.1,0.014865530528275026
AP006621.8,0.014853655493396291
RP4-781K5.2,0.014843097023692886
RP11-106M3.3,0.014840323770148708
NOP14-AS1,0.014825064370144712
AC053503.11,0.014820125184810337
RP11-119K6.6,0.01480718560182312
XIST,0.014798702814433134
NONHSAG031079,0.014760017879670191
RP11-529K1.4,0.014759375156459307
CTC-550B14.7,0.014757572937741987
JRK,0.014751112602125228
AC105402.4,0.01474335749482793
HOXB-AS1,0.014726010588675006
RP11-452H21.1,0.014691646549883565
PLK1S1,0.014663601433787378
RP1-56K13.3,0.01466254602244714
RP11-638I2.8,0.014655010795550975
RP11-298J20.4,0.014636888066613837
RP11-362A9.3,0.014632282498240223
NONHSAG029191,0.014628788796673422
RP4-816N1.6,0.014623272308490797
hTR,0.014611775433642091
RP11-707P17.1,0.014606360275734875
AC005154.5,0.01459896014308776
RP11-269F19.2,0.014596482326612438
RP4-724E16.2,0.014592971419583274
RP4-714D9.2,0.014569470902100607
SNORD109A,0.014568768340138897
RAB30-AS1,0.014558986944974267
SNORA67,0.014541872990018157
SENP3-EIF4A1,0.014535658354241449
RP11-977G19.11,0.014535589125895018
CTD-2369P2.5,0.014530937027142232
AC015849.13,0.014520573212292756
RP11-475N22.4,0.01451706712161663
RP5-872K7.7,0.01450330174528177
RP11-793H13.8,0.01450280429755757
RP5-977B1.7,0.014499959071231522
RP11-453F18__B.1,0.014496002008968584
AC073283.4,0.01448817735356656
CASC7,0.014486548334118821
TPT1-AS1,0.014481350351000464
AC073871.2,0.014469277327651894
RP11-617D20.1,0.014461852807450723
RP11-159D12.2,0.014452153413283713
RP11-498D10.5,0.014446368844569442
TBC1D14,0.014430842337702886
RP11-143J12.2,0.014417947453315637
RP4-605O3.4,0.014412206101122227
PTCHD3P1,0.01440869519697003
STXBP5-AS1,0.01440474041374055
RP11-156P1.3,0.01440103134736537
RP1-85F18.6,0.014388080816098167
AC004158.2,0.014383011036478443
LINC00963,0.01437320572311035
RP11-498C9.2,0.014364466362799885
RP11-1103G16.1,0.014343291577122426
RP5-1027O11.1,0.014333782268636817
RP11-575L7.8,0.014330159274678955
RP11-296I10.3,0.014329024359080369
RP5-821D11.7,0.014328099838996236
CTB-55O6.12,0.014319567164855624
ZNF761,0.014312766699467452
