lncRNA,score
Gas5,0.42878370204736077
2410006H16Rik,0.4246704551654357
Meg3,0.42420431042706147
Malat1,0.4234505714248812
4933404O12Rik,0.42301629740874647
Gm13483,0.4228286663541361
AC152164.1,0.4225038331901209
Xist,0.42235823688661717
Snhg12,0.4222917119925397
Frmd4a,0.4219677030063561
Gm12940,0.4218183280328249
2610307P16Rik,0.421810032524004
Tug1,0.4216566244421896
Oaz2,0.42164004646818
Gm17106,0.4214826207063105
Gm16023,0.4214453528739332
Airn,0.4212922098899675
4930586N03Rik,0.4212053403992985
Gm20417,0.42099038909894565
6720401G13Rik,0.4209325550743417
2210013O21Rik,0.4208788662777406
Sox2ot,0.42082519117511147
Gm15564,0.4208086785131073
Gm11602,0.4207591483014179
E130307A14Rik,0.42047045429050756
4632419I22Rik,0.42030154598263975
Gm11508,0.4202727215403758
Tsix,0.42026448671159733
5430416N02Rik,0.4202027357805221
5330434G04Rik,0.4201698093699609
Mirg,0.4200998578778808
1700084C06Rik,0.4200546075578093
2610035D17Rik,0.4200175918186872
BC042782,0.41993124712564645
Gm4117,0.4199148045422845
4930469K13Rik,0.4198819232381556
9130019P16Rik,0.41986548451708605
Gm12239,0.4197833102156412
9530036O11Rik,0.4197093808410986
Gm11337,0.4196929556273411
Gm14634,0.4196272676262256
5830444B04Rik,0.4196272676262256
Gm12680,0.4196108488386709
4933430M04Rik,0.4194877488742156
Gm12592,0.41947544285013455
Gm16178,0.41943442798390757
Gm16599,0.4194139235583665
1700123O12Rik,0.4193975214613001
D030028A08Rik,0.4193401242228625
Gm11944,0.41932372789734373
Gm13507,0.4192909390926132
5830428H23Rik,0.4192048928723362
Gm13402,0.4191844108821631
Ftx,0.41903699961538093
2410004N09Rik,0.41902062698535936
2900089D17Rik,0.4189346916639924
Gm14643,0.418848791583684
Gm11867,0.41883243365741557
Gm14066,0.418807899163562
E130102H24Rik,0.41869344285419124
Gm15787,0.41869344285419124
1700112D23Rik,0.4185953872269066
A930007I19Rik,0.41857088049593755
Gm14005,0.4185545442693963
4930405A21Rik,0.4185504604120027
Gm16320,0.41853820931796476
Gm15645,0.41853004232036845
Gm4876,0.4184973775170108
Gm14661,0.41842798173650175
4933406I18Rik,0.41840349460259996
9430091E24Rik,0.4183871714388585
2210408F21Rik,0.41837084954869763
D030047H15Rik,0.41836268908116336
4933423P22Rik,0.41834228930502104
A230108P19Rik,0.41832597091643825
A730017L22Rik,0.41828925919638593
Gm14164,0.4182770233882247
Gm15601,0.418248475952831
Gm15816,0.4182321648820896
AI854517,0.41819954655695446
Gm13974,0.4181832393022632
Gm2245,0.4181791626873024
Pisd-ps1,0.41815470466653826
A730090N16Rik,0.41813840090871673
Gm15680,0.41813432516790944
Gm15336,0.41810987239152964
A730081D07Rik,0.41809357212945325
Gm13481,0.418069124119232
Gm12296,0.4180080166008221
Gm12648,0.41799579724072033
B930095G15Rik,0.41799579724072033
Gm10658,0.4179835785949991
9430008C03Rik,0.41794692694349234
Zfp133-ps,0.41793471115466685
E530001K10Rik,0.41791028171915556
Gm16586,0.4179021392086251
Gm11974,0.4178736429202985
A230004M16Rik,0.4178736429202985
6330549D23Rik,0.41786957233920885
4930405D11Rik,0.41786550183742294
A530013C23Rik,0.417857361071753
Gm17057,0.4178329406777917
Gm17058,0.41779631543828744
Gm16343,0.41776376505970964
4930555B11Rik,0.4177352876387785
2810002D19Rik,0.4176661443487412
9330159M07Rik,0.41760922000005996
Gm14372,0.4175970239440263
Gm13830,0.4175929587503155
8030453O22Rik,0.4175441825985396
Gm13912,0.41752386256473656
Gm15338,0.4174872914874421
Gm15559,0.4174751025519801
4930445B16Rik,0.4174629143282323
Gm13847,0.41744666447023837
Mir17hg,0.4174344779069145
Gm13629,0.41740198388302424
Gm15614,0.4173897999282526
Gm12514,0.41736949491755365
Gm15414,0.4173085917372067
Gm16516,0.41727205835985137
Gm15983,0.4171990107917193
0610040F04Rik,0.4171949533433781
Gm20529,0.41717061031057545
BC065397,0.4171462701184048
9630028H03Rik,0.4171422136958474
Gm11973,0.41712598879449786
Gm20457,0.41712193276636905
1300002E11Rik,0.4170529923547625
Gm13520,0.41704488321627614
Gm17215,0.41697596826915795
9130024F11Rik,0.416963809172105
2900008C10Rik,0.4169313883798515
Gm16832,0.41689086947876697
C130071C03Rik,0.41687061298141126
A230006K03Rik,0.4168665619181583
Gm13634,0.41684630778285825
5530601H04Rik,0.4168382066798123
Snhg5,0.4168341562463674
2610028E06Rik,0.4167369694531181
Gm20528,0.41656700156952126
2010012P19Rik,0.41645780969492896
C130046K22Rik,0.41645376665074035
0610043K17Rik,0.41644972368505206
Gm8378,0.4164214251230528
Gm10863,0.41637696372362204
BC039771,0.41637696372362204
Gm13558,0.4163163498410924
Nespas,0.4162638320827745
Ppp4r1l-ps,0.41625171448170084
Nkx2-2as,0.41623152004760444
4933431K23Rik,0.4162234428226052
Rmst,0.4162113275728772
Trmt61b,0.41619921302841945
5830418P13Rik,0.416142687811047
Gm20446,0.416138650883029
Gm11266,0.4160377531314062
Gm15406,0.41603371823902785
Gm16751,0.4160256486890581
9430041J12Rik,0.4160135449510368
4833417C18Rik,0.41599740772918825
Gm10649,0.41599740772918825
Gm13266,0.4159732042436476
4933407K13Rik,0.41595303682368046
1700011J10Rik,0.41594093731032905
Gm11722,0.41593690429563634
Gm16277,0.4159248057208001
Gm16093,0.4159127078497786
4930405P13Rik,0.41590464299340874
Gm12971,0.4158925462952752
1700006P19Rik,0.4158723866953578
Gm13832,0.4158401354003195
Gm7457,0.41581191962027975
1700024P03Rik,0.4157353532294364
Atp10d,0.41569909477993816
Gm15938,0.41569909477993816
Gm14820,0.41568298194352704
Gm15581,0.4156668703561609
Gm12992,0.4156306238506556
5430405H02Rik,0.4156225699301066
Gm11978,0.41556620122475113
2810008D09Rik,0.41550582314803386
2900056M20Rik,0.4154857010211162
Gm17494,0.4154535096715494
9130204K15Rik,0.41544143920146975
NONMMUG030822,0.41543741586730487
E230016M11Rik,0.41541327749870394
Gm11476,0.41540925470998075
Gm15991,0.415352943847502
Gm2415,0.4153127311487783
D6Ertd474e,0.4153006688574736
1700045H11Rik,0.4152966482494086
Gm13147,0.4152363484689101
Gm9929,0.4152162524331513
Gm13067,0.41513990523386907
Gm16759,0.41511178439530244
2810403D21Rik,0.41503547560543125
2410133F24Rik,0.41498328049091293
Gm16083,0.4149190583692936
A230103J11Rik,0.414898993032596
Gm13380,0.41488695476208876
Gm11206,0.41487491719014064
Gm15943,0.41483479699468284
Gm14023,0.41483479699468284
1500017E21Rik,0.4148267738867243
Gm17200,0.4148267738867243
Gm13008,0.4148147398066603
Gm15246,0.4147746312486213
R74862,0.41476661046774144
Gm15527,0.4147465598726304
4930599N23Rik,0.41474254998623394
4930513N10Rik,0.41473052079225553
Gm12981,0.41471849229604646
Gm11725,0.41470646449754606
1700006D18Rik,0.4146984463527983
Gm12207,0.4146463359685483
4930524L23Rik,0.41461026721976885
D630008O14Rik,0.41460225279440743
Gm12132,0.414514114560395
Gm13845,0.41451010916741066
Gm12609,0.4145061038518327
C230014O12Rik,0.4144940883695145
Gm17354,0.41444202932802116
Gm10629,0.41442201010159463
9530051G07Rik,0.4144140029525389
C030005K06Rik,0.41438998336176125
4930506C21Rik,0.4143859803673316
4933439C10Rik,0.414369969162959
Gm12359,0.41434595467619206
2010204K13Rik,0.4143139396900284
Gm17382,0.41427392791387724
Gm20468,0.41427392791387724
Gm15813,0.4142219241570298
4933413J09Rik,0.41421792440881944
Gm15415,0.41421392473785196
1700001G01Rik,0.414209925144125
Gm11033,0.4141979268263652
B230216N24Rik,0.4141619360433514
Gm14858,0.4141539389409543
Gm14471,0.41413394753604515
D430001F17Rik,0.41413394753604515
Gm13270,0.41413394753604515
BC023719,0.41412994948665977
Gm15347,0.41412994948665977
6820431F20Rik,0.41406998800785877
1700020I14Rik,0.4140619944559045
Gm15496,0.41405400121257263
Gm16168,0.41405000470663456
Gm17029,0.4139980571491759
Gm16201,0.4139940617231192
0610005C13Rik,0.4139940617231192
4930511M06Rik,0.4139860711023563
AV039307,0.41395011712576757
A930015D03Rik,0.41391416939371817
Gm13986,0.41390618185667855
Ttc28,0.4139021882037626
Gm17344,0.41379438869879
9330158H04Rik,0.4137864057839892
Gm15718,0.4137744319892948
3110056K07Rik,0.4137305340035701
Gm15205,0.41372255355232296
Gm15283,0.4136826559136916
Gm14342,0.4136427659694344
NONMMUG013725,0.4136068715964534
4930500J02Rik,0.4135550351652993
Gm2301,0.4134992258451366
Gm13561,0.413495240041508
Gm12446,0.4134832830916485
Gm13589,0.4134753121759086
Gm16876,0.4134713268332819
1500016L03Rik,0.41346335637850395
Gm15851,0.41344343158589536
Gm15535,0.41343546220653987
Gm15491,0.4134274931344079
Gm9750,0.4133677348843764
Gm1992,0.41333587088083945
4930594M22Rik,0.4133279056475036
1700085B03Rik,0.41332392314595573
Gm12153,0.4133199407211516
A830012C17Rik,0.4132960477838213
Gm15862,0.4132363275241423
Gm10664,0.4132363275241423
Gm16046,0.4132164246060336
4930552N02Rik,0.4132084639755928
Emx2os,0.4131806041843363
4632427E13Rik,0.41314478997241827
Gm14204,0.4131288745377393
3010001F23Rik,0.41309306929265205
Gm3294,0.41307715784248283
Gm15997,0.41307318017146205
1700094C10Rik,0.4130692025770454
9130017K11Rik,0.4130692025770454
Gm16835,0.41304533861910875
4930556N13Rik,0.4130413615608593
Gm10701,0.41303738457919625
4930525G20Rik,0.4130135242974097
AW822252,0.41300954785178995
BB031773,0.4130055714827389
Gm13028,0.4130055714827389
Gm16163,0.41299761897433435
Gm15337,0.41299364283497636
9130410C08Rik,0.41298966677217835
Gm13563,0.4129697876065094
Mir22hg,0.4129658120030244
1700091E21Rik,0.41294991035450673
Gm12665,0.4129300350158941
A530058N18Rik,0.4128942642272524
Gm15941,0.41289029007773387
Gm15398,0.4128505527898192
Gm16151,0.41284260625007135
Gm15674,0.4128386330949124
Gm16365,0.41283068701401365
B130055M24Rik,0.41281876846618
Gm11632,0.412786989036154
Gm15408,0.41277110115589283
Gm12758,0.4127472716285436
AI847159,0.4127472716285436
C030013C21Rik,0.4127472716285436
Gm15208,0.4126916800964564
1810062O18Rik,0.41262816525068213
Gm20535,0.4125646699522602
A930028C08Rik,0.41252499531312725
Gm15751,0.41249722760569035
4930455G09Rik,0.4124892946615847
Gm11861,0.4124892946615847
Gm20544,0.4124892946615847
Gm15623,0.4124615317599123
Dlx1as,0.41244963451749095
Nisch,0.41244963451749095
1700064E03Rik,0.41244170340383585
4930593A02Rik,0.41241394690790906
4933421O10Rik,0.4123980877303777
1700056N10Rik,0.41238222977251343
2410137F16Rik,0.4123465538259974
Gm13610,0.4123306998310793
Gm15738,0.4123188101349125
A230072C01Rik,0.4123069211244128
Gm15637,0.4122593719378992
A830082K12Rik,0.4122593719378992
Gm17036,0.41224748635484554
Gm15964,0.41223560145710325
4930471I20Rik,0.412227678572641
4930448K12Rik,0.4122197559927176
Gm17077,0.4121722269075115
Gm16536,0.41214054693926216
Gm13856,0.4121286682066556
A230056P14Rik,0.41208511871146575
4930581F22Rik,0.41202970539060013
0610009E02Rik,0.41198617680652844
Gm11491,0.41198617680652844
Gm15024,0.4119189234456132
1810058I24Rik,0.41184773793300716
Ptprd,0.41184378390370646
4930417H01Rik,0.4118240148959925
Has2as,0.4118161078243012
Gm16582,0.41173310189972034
Gm16172,0.41172915007127653
Gm16268,0.41169358702866843
NONMMUG004254,0.4116896359587148
Gm12868,0.41167778320386716
Gm16537,0.41167778320386716
1700110K17Rik,0.4116619805923532
Camk1d,0.4116461791939867
Camta1,0.4116461791939867
Zbtb20,0.4116461791939867
Zmynd8,0.41161063048250934
Gm15825,0.41160668100467446
4930556G01Rik,0.4116027316026306
Tcf4,0.4115869347523235
4930517O19Rik,0.41158298572920277
A330040F15Rik,0.4115750879102935
Fus,0.4115592931817421
Gm13919,0.4115592931817421
Gm12367,0.41154349966543063
Pde4d,0.4115277073612195
BC024582,0.4115237594745411
Arid2,0.4114763907419154
Eif4g2,0.4114763907419154
1700040N02Rik,0.4114408713481183
Rps6kb1,0.41142508691915947
Gm15832,0.41142114100115246
Ahdc1,0.41139746708249736
Mdm2,0.41139746708249736
Rab14,0.41139746708249736
Setd5,0.41139746708249736
Ythdc1,0.41139746708249736
Gm17112,0.41139352169426563
Zfp407,0.41135801660522586
8430403D17Rik,0.41133829420374696
Gm16068,0.4113304057726717
Itsn1,0.4113146298181677
Gm13963,0.41128702480945506
Gm15927,0.41128702480945506
BB557941,0.4112751952256998
Gm15788,0.41122394155859276
C79798,0.4112042320110636
C030047K22Rik,0.41120029032827365
Gm16552,0.41118058304778404
Gm10785,0.4111766418183629
Asap1,0.41116875958618
E430024P14Rik,0.41116875958618
1700016P03Rik,0.4111648185834139
Pkp4,0.4111529960283911
4933431E20Rik,0.4111293529578892
Ppp3ca,0.4111175324422928
9330198N18Rik,0.411109652476172
Gm10475,0.411105712606388
Gm17071,0.411105712606388
Gm15477,0.41110177281211885
Smad3,0.4110820749734184
Ctbp2,0.4110545011702504
4930483K19Rik,0.4110545011702504
9230114K14Rik,0.4110426849583772
A930001C03Rik,0.41099542690350244
A430035B10Rik,0.4109521165648911
Gm14232,0.4109521165648911
Gm16108,0.4109481797140053
Nrf1,0.4109363696139073
Gm15083,0.4109324330647204
Plcb4,0.4109324330647204
2700069I18Rik,0.41091668762214456
2310014F06Rik,0.4109048793320322
D330022K07Rik,0.4108852003565656
Gm10714,0.4108812647876609
A830036E02Rik,0.41085765295737114
8030451A03Rik,0.4108183059369096
Gm16070,0.4108104374371646
Gm17300,0.41078683374631236
Gm10501,0.4107789664520982
Gm14209,0.41075536637742294
4921518J05Rik,0.4107475002884625
Cadm1,0.4107278363840808
4931440J10Rik,0.4107121066161094
Gm17021,0.4107081743623672
Bcas3,0.41070031008076824
Etl4,0.41070031008076824
Jarid2,0.41070031008076824
Kpna1,0.41070031008076824
NONMMUG033359,0.41070031008076824
Ppard,0.41070031008076824
Psmd14,0.41070031008076824
Tmem135,0.41070031008076824
Ube2e2,0.41070031008076824
Wsb2,0.4106413375672592
Gm9725,0.4106334758450229
Gm20536,0.4106216838260744
Gm11816,0.41061382285635406
Gm15461,0.41061382285635406
Mtch2,0.4105745225220486
Hnrnpl,0.41056666335792585
Kcnip1,0.4105588044946754
Rps8,0.4105588044946754
Gnas,0.41055487517587197
Spata5,0.41053915865275303
Gt(ROSA)26Sor,0.4105313008424201
5430417L22Rik,0.4105313008424201
1700003F17Rik,0.4105234433328819
Abhd1,0.410484160296507
