度数：5
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,1839,18,0.2857142857142857,7.485217491408983,0.061901,2554,19,0.30158730158730157,6.044742745868958,0.086172,3279,19,0.30158730158730157,4.4621519201416255,0.110817,3978,20,0.31746031746031744,3.8211419450127537,0.134543,4679,20,0.31746031746031744,2.814917873876978,0.158372
10,2961,31,0.49206349206349204,14.447436598977864,0.099599,3676,32,0.5079365079365079,12.740803747330801,0.12387,4401,32,0.5079365079365079,10.597913586488158,0.148515,5100,33,0.5238095238095238,9.622117338883896,0.172241,5801,33,0.5238095238095238,8.134671022920866,0.19607
15,4163,39,0.6190476190476191,17.55616423212427,0.140186,4878,40,0.6349206349206349,16.080597746537457,0.164457,5603,40,0.6349206349206349,13.953445203948139,0.189102,6302,41,0.6507936507936508,13.015046960200973,0.212829,7003,41,0.6507936507936508,11.414532343092585,0.236658
20,5438,45,0.7142857142857143,19.229143127014833,0.183323,6153,46,0.7301587301587301,18.027752773386432,0.207594,6878,46,0.7301587301587301,16.020979236507003,0.232239,7577,47,0.746031746031746,15.215823297775485,0.255966,8278,47,0.746031746031746,13.623378725291763,0.279795
25,6851,48,0.7619047619047619,18.06118775553643,0.231253,7566,49,0.7777777777777778,17.170816502726993,0.255524,8291,49,0.7777777777777778,15.416115985504957,0.280169,8990,50,0.7936507936507936,14.80451475354005,0.303896,9691,50,0.7936507936507936,13.36014328552837,0.327725
度数：10
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,2113,18,0.2857142857142857,6.5768249570525406,0.071215,3158,19,0.30158730158730157,4.6915218430053915,0.106703,4161,20,0.31746031746031744,3.4593919592887366,0.140764,5183,21,0.3333333333333333,2.621377426735397,0.175471,6225,21,0.3333333333333333,1.5393449616161723,0.210891
10,3235,31,0.49206349206349204,13.388920943331629,0.108913,4280,32,0.5079365079365079,10.924584600798555,0.144401,5283,33,0.5238095238095238,9.209353728562466,0.178462,6305,34,0.5396825396825397,7.8344577955165,0.213169,7347,34,0.5396825396825397,5.973700181051327,0.248589
15,4437,39,0.6190476190476191,16.581557208343963,0.1495,5482,40,0.6349206349206349,14.285240157124145,0.184989,6485,41,0.6507936507936508,12.576896161269069,0.21905,7507,42,0.6666666666666666,11.137809510744221,0.253756,8549,42,0.6666666666666666,8.97281857518735,0.289177
20,5712,45,0.7142857142857143,18.351659536278145,0.192637,6757,46,0.7301587301587301,16.338499949472446,0.228126,7760,47,0.746031746031746,14.783732275509943,0.262186,8782,48,0.7619047619047619,13.432582906941,0.296893,9824,48,0.7619047619047619,11.414572986144204,0.332314
25,7121,48,0.7619047619047619,17.32863922989636,0.240431,8166,49,0.7777777777777778,15.705655043668834,0.27592,9169,50,0.7936507936507936,14.423252065797733,0.30998,10191,51,0.8095238095238095,13.283590116415649,0.344687,11233,51,0.8095238095238095,11.165064596734258,0.380107
度数：15
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,2246,19,0.30158730158730157,6.9057904379898725,0.075702,3419,20,0.31746031746031744,4.763736687424094,0.115542,4549,21,0.3333333333333333,3.455070417786237,0.153919,5721,22,0.3492063492063492,2.442804829113784,0.193725,6909,23,0.36507936507936506,1.6164609707099478,0.234074
10,3368,32,0.5079365079365079,13.808644807121267,0.1134,4541,33,0.5238095238095238,11.008152788987237,0.15324,5671,34,0.5396825396825397,9.078402804011347,0.191617,6843,35,0.5555555555555556,7.515979747319401,0.231423,8031,36,0.5714285714285714,6.2136955043703415,0.271772
15,4570,40,0.6349206349206349,17.097970090645543,0.153987,5743,41,0.6507936507936508,14.454387693829398,0.193827,6873,42,0.6666666666666666,12.501523733242504,0.232205,8045,43,0.6825396825396826,10.83499917057277,0.27201,9233,44,0.6984126984126984,9.370548196356015,0.31236
20,5296,44,0.6984126984126984,18.66312041621464,0.17853,6469,45,0.7142857142857143,16.156145663194987,0.21837,7599,46,0.7301587301587301,14.255177057226136,0.256748,8771,47,0.746031746031746,12.59751899694079,0.296553,9959,48,0.7619047619047619,10.927605202185125,0.336903
25,5578,44,0.6984126984126984,17.761786564694845,0.188116,6751,45,0.7142857142857143,15.412910211633365,0.227956,7881,46,0.7301587301587301,13.61782104621026,0.266334,9053,47,0.746031746031746,12.04198842052286,0.306139,10241,48,0.7619047619047619,10.640315098794973,0.346489
度数：20
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,2320,19,0.30158730158730157,6.685943202534282,0.078217,3560,21,0.3333333333333333,5.0693513741358345,0.1203,4765,23,0.36507936507936506,4.0586352749077035,0.161194,6031,24,0.38095238095238093,2.850147576486125,0.204195,7300,26,0.4126984126984127,2.311687882642806,0.247264
10,3442,32,0.5079365079365079,13.541985597880107,0.115915,4682,34,0.5396825396825397,11.425339238271546,0.157999,5887,36,0.5714285714285714,10.048326092647365,0.198892,7153,37,0.5873015873015873,8.255220243242977,0.241893,8422,39,0.6190476190476191,7.2758393755700395,0.284962
15,4177,35,0.5555555555555556,13.743825816625343,0.140798,5417,37,0.5873015873015873,11.922915994636087,0.182881,6622,39,0.6190476190476191,10.694121544935111,0.223775,7888,40,0.6349206349206349,8.962164210375821,0.266775,9157,42,0.6666666666666666,8.077314896541886,0.309844
20,4416,35,0.5555555555555556,13.005929356275177,0.148922,5656,37,0.5873015873015873,11.335426604085844,0.191006,6861,39,0.6190476190476191,10.19732034745661,0.231899,8127,40,0.6349206349206349,8.367874013955163,0.2749,9396,42,0.6666666666666666,7.795715236760503,0.317969
25,4514,35,0.5555555555555556,12.716909380408161,0.152254,5754,37,0.5873015873015873,11.103316975605416,0.194337,6959,39,0.6190476190476191,9.999970562587956,0.23523,8225,40,0.6349206349206349,8.28230331521658,0.278231,9494,42,0.6666666666666666,7.497422177536597,0.3213
