度数：5
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,2252,18,0.2857142857142857,6.1697104062603945,0.07594,2967,19,0.30158730158730157,5.079342789699684,0.100211,3692,19,0.30158730158730157,3.7618458490333158,0.124856,4391,20,0.31746031746031744,3.2148332330044926,0.148583,5092,20,0.31746031746031744,2.36922144511379,0.172411
10,3726,32,0.5079365079365079,12.57736133861291,0.125569,4441,33,0.5238095238095238,11.278355644462271,0.14984,5166,33,0.5238095238095238,9.47110457017673,0.174485,5865,34,0.5396825396825397,8.678974720850691,0.198212,6566,34,0.5396825396825397,7.370223541120014,0.222041
15,5200,41,0.6507936507936508,16.020284964735826,0.175369,5915,42,0.6666666666666666,14.88243912745212,0.19964,6640,42,0.6666666666666666,13.042185158358903,0.224284,7339,43,0.6825396825396826,12.283342783231106,0.248011,8040,43,0.6825396825396826,10.844686641155667,0.27184
20,6674,46,0.7301587301587301,16.560131434632737,0.225304,7389,47,0.746031746031746,15.672672103246416,0.249575,8114,47,0.746031746031746,13.981144082498352,0.27422,8813,48,0.7619047619047619,13.368379760126254,0.297947,9514,48,0.7619047619047619,11.986157867589906,0.321776
25,8148,50,0.7936507936507936,16.725512748929823,0.275274,8863,51,0.8095238095238095,16.047910942194637,0.299544,9588,51,0.8095238095238095,14.482583061126007,0.324189,10287,52,0.8253968253968254,14.016156010046311,0.347916,10988,52,0.8253968253968254,12.433421062004278,0.371745
度数：10
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,2526,18,0.2857142857142857,5.4530457998194715,0.085254,3571,19,0.30158730158730157,3.954802283905272,0.120742,4574,20,0.31746031746031744,2.8951547603053562,0.154803,5596,21,0.3333333333333333,2.2264291489508534,0.18951,6638,21,0.3333333333333333,1.312806484155043,0.22493
10,4000,32,0.5079365079365079,11.725597066773593,0.134883,5045,33,0.5238095238095238,9.749867474587397,0.170372,6048,34,0.5396825396825397,8.317790248957204,0.204433,7070,35,0.5555555555555556,6.983073700550945,0.239139,8112,35,0.5555555555555556,5.519080954331404,0.27456
15,5474,41,0.6507936507936508,15.207465507972795,0.184683,6519,42,0.6666666666666666,13.332119557539194,0.220171,7522,43,0.6825396825396826,11.891698015119836,0.254232,8544,44,0.6984126984126984,10.64564021997423,0.288939,9586,44,0.6984126984126984,8.709583375106847,0.324359
20,6948,46,0.7301587301587301,15.84023506391783,0.234618,7993,47,0.746031746031746,14.25070589882303,0.270107,8996,48,0.7619047619047619,12.994874751128641,0.304168,10018,49,0.7777777777777778,11.879304795527197,0.338874,11060,49,0.7777777777777778,10.065069476296628,0.374295
25,8418,50,0.7936507936507936,16.085321324059613,0.284452,9463,51,0.8095238095238095,14.742366243578159,0.31994,10466,52,0.8253968253968254,13.668960618974086,0.354001,11488,53,0.8412698412698413,12.64118573319389,0.388708,12530,53,0.8412698412698413,10.920172422584871,0.424128
度数：15
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,2659,19,0.30158730158730157,5.780876448992125,0.089741,3832,20,0.31746031746031744,4.047904985292135,0.129581,4962,21,0.3333333333333333,2.9273437603163615,0.167958,6134,22,0.3492063492063492,1.9285369790016142,0.207764,7322,23,0.36507936507936506,1.3973294864590016,0.248113
10,4133,33,0.5238095238095238,12.159247881486284,0.13937,5306,34,0.5396825396825397,9.880015785709462,0.17921,6436,35,0.5555555555555556,8.243238618724991,0.217588,7608,36,0.5714285714285714,6.857327854788491,0.257393,8796,37,0.5873015873015873,5.608746391477437,0.297743
15,5607,42,0.6666666666666666,15.746669554526324,0.18917,6780,43,0.6825396825396826,13.557967799946498,0.229009,7910,44,0.6984126984126984,11.885343802591155,0.267387,9082,45,0.7142857142857143,10.417464472372583,0.307193,10270,46,0.7301587301587301,9.112207492323074,0.347542
20,6079,45,0.7142857142857143,17.24820646034109,0.205113,7252,46,0.7301587301587301,15.079223400048475,0.244952,8382,47,0.746031746031746,13.400896738668594,0.28333,9554,48,0.7619047619047619,11.911103189420679,0.323135,10742,49,0.7777777777777778,10.41245809140923,0.363485
25,6079,45,0.7142857142857143,17.24820646034109,0.205113,7252,46,0.7301587301587301,15.079223400048475,0.244952,8382,47,0.746031746031746,13.400896738668594,0.28333,9554,48,0.7619047619047619,11.911103189420679,0.323135,10742,49,0.7777777777777778,10.41245809140923,0.363485
度数：20
,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,25,25,25,25,25
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
5,2733,19,0.30158730158730157,5.60288597671254,0.092256,3973,21,0.3333333333333333,4.338947248400626,0.13434,5178,23,0.36507936507936506,3.4721899430246568,0.175233,6444,24,0.38095238095238093,2.4768011120717786,0.218234,7713,26,0.4126984126984127,2.0341781653862654,0.261303
10,4207,33,0.5238095238095238,11.940555274102266,0.141886,5447,35,0.5555555555555556,10.296684375924835,0.183969,6652,37,0.5873015873015873,9.184862673986085,0.224862,7918,38,0.6031746031746031,7.560327570206755,0.267863,9187,40,0.6349206349206349,6.821322585438883,0.310932
15,4808,35,0.5555555555555556,11.89298151963714,0.162248,6048,37,0.5873015873015873,10.435555744529738,0.204331,7253,39,0.6190476190476191,9.428881684583247,0.245224,8519,40,0.6349206349206349,7.89066385730419,0.288225,9788,42,0.6666666666666666,7.213180673766803,0.331294
20,4808,35,0.5555555555555556,11.89298151963714,0.162248,6048,37,0.5873015873015873,10.435555744529738,0.204331,7253,39,0.6190476190476191,9.428881684583247,0.245224,8519,40,0.6349206349206349,7.89066385730419,0.288225,9788,42,0.6666666666666666,7.213180673766803,0.331294
25,4808,35,0.5555555555555556,11.89298151963714,0.162248,6048,37,0.5873015873015873,10.435555744529738,0.204331,7253,39,0.6190476190476191,9.428881684583247,0.245224,8519,40,0.6349206349206349,7.89066385730419,0.288225,9788,42,0.6666666666666666,7.213180673766803,0.331294
