度数：5
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,451,5,0.45454545454545453,6.05523560311004,0.01825,852,5,0.45454545454545453,4.705671390749539,0.034658,1263,5,0.45454545454545453,3.8868489390606737,0.051475,1666,5,0.45454545454545453,3.322031470553869,0.067965,2064,5,0.45454545454545453,2.8937063449342353,0.084251
3,940,5,0.45454545454545453,4.499776336070022,0.038259,1341,5,0.45454545454545453,3.7637202857454555,0.054667,1752,5,0.45454545454545453,3.2206414057833643,0.071484,2155,5,0.45454545454545453,2.8085319519215073,0.087974,2553,5,0.45454545454545453,2.4780987983573937,0.10426
5,1415,5,0.45454545454545453,3.6537573987327563,0.057695,1816,5,0.45454545454545453,3.1486370387154885,0.074103,2227,5,0.45454545454545453,2.7439248871837183,0.09092,2630,5,0.45454545454545453,2.4209085229284533,0.10741,3028,5,0.45454545454545453,2.153129973875674,0.123696
7,1902,6,0.5454545454545454,4.141867948561804,0.077581,2303,6,0.5454545454545454,3.6754891035295767,0.093989,2714,6,0.5454545454545454,3.2811640134042492,0.110806,3117,6,0.5454545454545454,2.9538957752921795,0.127297,3515,6,0.5454545454545454,2.674376284553381,0.143582
9,2352,6,0.5454545454545454,3.6245983709014635,0.095994,2753,6,0.5454545454545454,3.247202770888666,0.112402,3164,6,0.5454545454545454,2.9188396570748556,0.12922,3567,6,0.5454545454545454,2.6405395584640354,0.14571,3965,6,0.5454545454545454,2.399097467318198,0.161995
度数：10
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,453,5,0.45454545454545453,6.045764522828734,0.018331,922,5,0.45454545454545453,4.5402083069256,0.037522,1392,5,0.45454545454545453,3.6872650860975185,0.056754,1862,5,0.45454545454545453,3.098572383389431,0.075985,2333,6,0.5454545454545454,3.644193543132088,0.095217
3,633,5,0.45454545454545453,5.332740363305156,0.025697,1102,5,0.45454545454545453,4.168654421396431,0.044887,1572,5,0.45454545454545453,3.4395423743245996,0.064119,2042,5,0.45454545454545453,2.914922592722516,0.08335,2513,6,0.5454545454545454,3.4651735993587836,0.102582
5,646,5,0.45454545454545453,5.289634198045783,0.026229,1115,5,0.45454545454545453,4.14433496254734,0.045419,1585,5,0.45454545454545453,3.422845742353601,0.064651,2055,5,0.45454545454545453,2.902355375922134,0.083882,2526,6,0.5454545454545454,3.4527908861031147,0.103114
7,653,5,0.45454545454545453,5.266792216731862,0.026515,1122,5,0.45454545454545453,4.131363212020409,0.045706,1592,5,0.45454545454545453,3.413916254759907,0.064937,2062,5,0.45454545454545453,2.8956247444117116,0.084169,2533,6,0.5454545454545454,3.4461521576420724,0.1034
