度数：5
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,451,4,0.36363636363636365,4.46830088107735,0.01829,852,4,0.36363636363636365,3.401052520489804,0.034699,1263,4,0.36363636363636365,2.758154412483837,0.051516,1666,4,0.36363636363636365,2.3181084195246573,0.068006,2064,4,0.36363636363636365,1.9870832918522823,0.084292
3,940,5,0.45454545454545453,4.499776336070022,0.038259,1341,5,0.45454545454545453,3.7637202857454555,0.054667,1752,5,0.45454545454545453,3.2206414057833643,0.071484,2155,5,0.45454545454545453,2.8085319519215073,0.087974,2553,5,0.45454545454545453,2.4780987983573937,0.10426
5,1429,5,0.45454545454545453,3.6336450401080422,0.058268,1830,5,0.45454545454545453,3.1332547217948807,0.074676,2241,5,0.45454545454545453,2.7316328625811797,0.091493,2644,5,0.45454545454545453,2.410715670906256,0.107983,3042,5,0.45454545454545453,2.1444671315306953,0.124269
7,1848,6,0.5454545454545454,4.212647070668897,0.075371,2249,6,0.5454545454545454,3.7329521157852406,0.09178,2660,6,0.5454545454545454,3.329087786022243,0.108597,3063,6,0.5454545454545454,2.9949147084530043,0.125087,3461,6,0.5454545454545454,2.7101276987832197,0.141372
9,1854,6,0.5454545454545454,4.20467449692744,0.075617,2255,6,0.5454545454545454,3.7264938861725563,0.092025,2666,6,0.5454545454545454,3.3237101694770024,0.108842,3069,6,0.5454545454545454,2.9903170874403906,0.125332,3467,6,0.5454545454545454,2.706123880004408,0.141618
度数：10
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,314,4,0.36363636363636365,5.086067416541431,0.012685,783,4,0.36363636363636365,3.5410313539310176,0.031875,1253,4,0.36363636363636365,2.7709543138058703,0.051107,1723,4,0.36363636363636365,2.265523084777295,0.070338,2194,5,0.45454545454545453,2.773243254176254,0.08957
3,392,5,0.45454545454545453,6.355841958152621,0.015835,861,5,0.45454545454545453,4.683619925093245,0.035026,1331,5,0.45454545454545453,3.7790744125515707,0.054258,1801,5,0.45454545454545453,3.1652622843075804,0.073489,2272,6,0.5454545454545454,3.708296191254591,0.092721
5,454,5,0.45454545454545453,6.041045024664703,0.018372,923,5,0.45454545454545453,4.537940552079076,0.037563,1393,5,0.45454545454545453,3.6857959776763036,0.056794,1863,5,0.45454545454545453,3.097499079346184,0.076026,2334,6,0.5454545454545454,3.6431578997934437,0.095258
7,497,5,0.45454545454545453,5.847582528004845,0.020132,966,5,0.45454545454545453,4.442780253321354,0.039322,1436,5,0.45454545454545453,3.623667699785448,0.058554,1906,5,0.45454545454545453,3.051934008494733,0.077786,2377,6,0.5454545454545454,3.5990759796697476,0.097017
