度数：5
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,445,5,0.625,6.980703997378857,0.018002,846,5,0.625,5.599187643196584,0.034408,1257,5,0.625,4.75656896875658,0.051223,1660,6,0.75,5.617392273945749,0.06767,2058,6,0.75,5.069553019665967,0.083954
3,929,6,0.75,7.109748303421284,0.037763,1330,6,0.75,6.185314915857202,0.054169,1741,6,0.75,5.4956844943400505,0.070984,2144,7,0.875,6.534736487126136,0.087431,2542,7,0.875,6.0231662282992655,0.103715
5,1359,7,0.875,7.910219287850312,0.055315,1760,7,0.875,7.129234655486671,0.071721,2171,7,0.875,6.497092950277181,0.088536,2574,8,1.0,7.825594019929962,0.104983,2972,8,1.0,7.325438114148303,0.121267
7,1721,7,0.875,7.196828524372589,0.070125,2122,7,0.875,6.565766287324884,0.086531,2533,7,0.875,6.033807635404284,0.103347,2936,8,1.0,7.36783039951179,0.119794,3334,8,1.0,6.925658823540532,0.136077
9,2122,7,0.875,6.565766287324884,0.086531,2523,7,0.875,6.04567661688316,0.102938,2934,7,0.875,5.593448964163258,0.119753,3337,8,1.0,6.922530650307167,0.1362,3735,8,1.0,6.530666592608565,0.152483
度数：10
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,450,4,0.5,5.1263856006589785,0.018247,919,5,0.625,5.422389074724365,0.037395,1389,5,0.625,4.545526571963045,0.056624,1859,6,0.75,5.3283924026634155,0.075812,2330,7,0.875,6.284620834333935,0.095041
3,697,5,0.625,6.014192301689824,0.028312,1166,6,0.75,6.523706999882161,0.047459,1636,6,0.75,5.654624096232781,0.066688,2106,7,0.875,6.588539056752555,0.085877,2577,8,1.0,7.821541501654102,0.105106
5,746,5,0.625,5.86847872214883,0.030317,1215,6,0.75,6.4177702771890806,0.049464,1685,6,0.75,5.579190619782047,0.068693,2155,7,0.875,6.519342494843789,0.087882,2626,8,1.0,7.756010856427006,0.107111
7,746,5,0.625,5.86847872214883,0.030317,1215,6,0.75,6.4177702771890806,0.049464,1685,6,0.75,5.579190619782047,0.068693,2155,7,0.875,6.519342494843789,0.087882,2626,8,1.0,7.756010856427006,0.107111
9,749,5,0.625,5.859876862283131,0.030439,1218,6,0.75,6.411426301860617,0.049587,1688,6,0.75,5.5746454726913175,0.068816,2158,7,0.875,6.515157966751826,0.088004,2629,8,1.0,7.752038647345523,0.107233
度数：15
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
