度数：5
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,451,4,0.5,5.122574168481666,0.018288,852,4,0.5,4.038018670702969,0.034694,1263,4,0.5,3.3772543046629275,0.05151,1666,5,0.625,4.163076035618959,0.067957,2064,5,0.625,3.716195672995905,0.08424
3,940,5,0.625,5.374182703755007,0.038254,1341,5,0.625,4.61977694660842,0.05466,1752,5,0.625,4.057692515561444,0.071475,2155,6,0.75,4.952582519580031,0.087922,2553,6,0.75,4.523672580224702,0.104206
5,1415,5,0.625,4.506406963606659,0.057688,1816,5,0.625,3.982710562135599,0.074094,2227,5,0.625,3.558760547738583,0.090909,2630,6,0.75,4.448741381673139,0.107356,3028,6,0.75,4.094634903046786,0.12364
7,1902,5,0.625,3.8861896130268225,0.077612,2303,5,0.625,3.4894659409076296,0.094018,2714,5,0.625,3.1524422540868082,0.110834,3117,6,0.75,4.022116656004381,0.127281,3515,6,0.75,3.722420522044345,0.143564
9,2352,5,0.625,3.446060566789201,0.096023,2753,5,0.625,3.123335182519663,0.112429,3164,5,0.625,2.8411324528641706,0.129245,3567,6,0.75,3.685928645524662,0.145692,3965,6,0.75,3.424017432366629,0.161975
度数：10
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
1,453,4,0.5,5.114977064737542,0.01837,922,5,0.625,5.415433881192339,0.037517,1392,5,0.625,4.540974310303301,0.056747,1862,6,0.75,5.324282602579491,0.075935,2333,7,0.875,6.280754940551815,0.095164
3,633,5,0.625,6.2210662851188765,0.025693,1102,6,0.75,6.6691064728775915,0.044841,1572,6,0.75,5.756708797224791,0.06407,2042,7,0.875,6.681418978624015,0.083258,2513,8,1.0,7.909037353333304,0.102488
5,646,5,0.625,6.177372950335481,0.026225,1115,6,0.75,6.63888920401636,0.045373,1585,6,0.75,5.735632904031676,0.064602,2055,7,0.875,6.662316087089668,0.08379,2526,8,1.0,7.891085539312237,0.103019
7,653,5,0.625,6.154214718163526,0.026512,1122,6,0.75,6.622766362765024,0.045659,1592,6,0.75,5.724357449995732,0.064888,2062,7,0.875,6.652080598407001,0.084077,2533,8,1.0,7.88145746069758,0.103306
9,659,5,0.625,6.134564908649388,0.026757,1128,6,0.75,6.6090279659567885,0.045905,1598,6,0.75,5.714733061382772,0.065134,2068,7,0.875,6.643335323229665,0.084322,2539,8,1.0,7.8732260048499505,0.103551
度数：15
,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9
,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR,X,Y,Sen,FET_p,FPR
