lncRNA,score
HOTAIR,0.007106786730365348
Xist,0.006644725404845085
Gas5,0.0006486076402837245
Kcnq1ot1,0.0005601245128650825
Malat1,0.0005169164686068032
5430416N02Rik,0.00048357724279920013
Meg3,0.0004225157601616538
Snhg12,0.00042249913294884264
9430008C03Rik,0.00029633660910230144
AC152164.1,0.0002924194981088061
2410006H16Rik,0.0002876664943679797
U1,0.00027776008625256504
AC025794.1,0.0002713778059732496
H19,0.00023384586546171404
Gm11974,0.00022503474655167284
Gm13483,0.00021124847821792347
AL732311.1,0.00021027926796457307
Tug1,0.00020798274190478782
Gm21960,0.0002040329663502156
4933404O12Rik,0.0002016174971462357
2610307P16Rik,0.00019388160099262152
1700123O12Rik,0.00019380292626572173
Gm15941,0.00018972431573955232
Gm16023,0.00018357496420335256
NONMMUG038161,0.0001813970193421932
2410004N09Rik,0.0001790646881522145
5330434G04Rik,0.00017823032319913253
6820431F20Rik,0.00017487256561130553
4933430M04Rik,0.00017044240682426281
NONMMUG028306,0.00016593040683775373
Mir17hg,0.00016567218374178257
NONMMUG012545,0.00016184002904839318
4930469K13Rik,0.00015791447387654423
BC042782,0.00015134905366571166
Snord17,0.00015124187914732293
linc1458,0.00015036051948274186
Gm12239,0.0001500901807584382
1110038B12Rik,0.00014976902553378975
4930555B11Rik,0.00014731928309795846
7SK,0.0001470142408707223
AY172335.12,0.0001470142408707223
NONMMUG044341,0.0001470142408707223
6720401G13Rik,0.0001460361065494311
Rmrp,0.00014208019288159982
Ttc28,0.00014203087397960027
Gm13147,0.00014101409739786645
U2,0.00014043951704611742
BC1,0.0001388848883986972
Aurka,0.00013602887014815216
Ftx,0.00013262501853500132
Gm15614,0.00013196727764296998
Fam169b,0.00013125952461544624
4930405A21Rik,0.00013032523483105153
C130046K22Rik,0.00012731534064599272
AC107641.2,0.0001247760389891234
linc1317,0.00012188342178162141
Frmd4a,0.00011969161028582601
9130204K15Rik,0.00011892062666963823
Gm17106,0.00011532814270727212
3010001F23Rik,0.00011317425228939798
Gm12367,0.00011311458149408288
AC102906.1,0.00010926435332616636
U3,0.00010706475165094461
Gm12940,0.00010646492993389297
Gm2373,0.00010585023557596481
Gm16516,0.00010582907448548789
Airn,0.00010551762345738622
9530036O11Rik,0.00010410401546151651
Gm12992,0.00010374957905910489
Gm20417,0.0001037105202362387
AI854517,0.00010277675912762694
Oaz2,0.00010269116915097721
linc1343,0.00010235245956706425
C130071C03Rik,0.00010224695117033849
2210013O21Rik,0.00010173885529104096
1500017E21Rik,0.000101186264512759
Mirg,0.00010115849189927242
4930586N03Rik,0.000100734903669807
1300002E11Rik,0.00010054691930926644
9330159M07Rik,9.948003309283941e-05
Gm15564,9.875482340449618e-05
Fendrr,9.752150613222332e-05
Sox2ot,9.729795250910088e-05
NONMMUG010032,9.636417204822148e-05
mrhl,9.5754337194279e-05
Nespas,9.572657085024554e-05
linc1476,9.571752758795898e-05
4930557F10Rik,9.570433791995132e-05
AY172335.3,9.48296519302477e-05
G630018N14Rik,9.4309581269306e-05
4632419I22Rik,9.27101774268485e-05
2610035D17Rik,9.200862944690851e-05
3110056K07Rik,9.164536635925188e-05
4930405P13Rik,9.142398104237263e-05
Gm11602,9.034083606080185e-05
NONMMUG001554,9.029197271819952e-05
Gm17494,8.92383114975095e-05
A230004M16Rik,8.914247361802129e-05
5530601H04Rik,8.90062356643491e-05
2900076A07Rik,8.759771896190383e-05
AC137513.1,8.648342989578708e-05
C230035I16Rik,8.43487506141274e-05
AC102570.1,8.413167443252197e-05
AC109202.1,8.413167443252197e-05
NONMMUG019700,8.413167443252197e-05
AC107822.5,8.404074454497454e-05
4930511M06Rik,8.361371165822111e-05
1700084C06Rik,8.299230626794638e-05
AC121821.1,8.212050916607553e-05
Gm14634,8.197208965918159e-05
0610043K17Rik,8.158821148010722e-05
Gm16599,8.096481831501364e-05
E130307A14Rik,8.01761096742749e-05
Snora73b,8.003799271619704e-05
Gm11508,7.951562944600492e-05
6330549D23Rik,7.873115887687372e-05
Gm12680,7.829277643440287e-05
1700016P03Rik,7.742488309315853e-05
Tsix,7.66108485489327e-05
Gm4876,7.6591352338043e-05
AC134826.1,7.632010894427258e-05
Scarna13,7.6025641209415e-05
E530001K10Rik,7.599455668116535e-05
Gm14005,7.575486002257896e-05
5830418P13Rik,7.566324867336318e-05
Gm11337,7.520611915709219e-05
Gm12592,7.498079281287e-05
AU019990,7.459684344251183e-05
4930545L23Rik,7.414241716782299e-05
Gm17344,7.404006509570595e-05
A930007I19Rik,7.399868557403071e-05
Snhg5,7.397493006537235e-05
Gm13507,7.385452614187322e-05
Gm15441,7.364512953081e-05
D030028A08Rik,7.360329511014618e-05
A230103J11Rik,7.338394297796191e-05
Gm4117,7.337859686312513e-05
Gm14643,7.309795987210836e-05
1700045H11Rik,7.3049446893289e-05
Gm16178,7.286489829830838e-05
4931440J10Rik,7.274524198481403e-05
Gm12648,7.260917347276707e-05
Gm11867,7.246306283211789e-05
Gm15645,7.22326249556045e-05
5830428H23Rik,7.20112637955426e-05
4930593A02Rik,7.07927541592193e-05
9230111E07Rik,7.04226681785491e-05
D030047H15Rik,7.006775706761179e-05
9130019P16Rik,6.984526240583387e-05
Gm12511,6.963328334004402e-05
Gm14661,6.935645440928462e-05
BC006965,6.914929200297522e-05
Gm13402,6.80634023786997e-05
A930015D03Rik,6.78174534403463e-05
Gm11944,6.76649659639066e-05
Gm15283,6.752611393499417e-05
AC115823.1,6.750349928326344e-05
Nron,6.7482747896402e-05
1700112D23Rik,6.734853877393778e-05
Gm14066,6.718802350849818e-05
Gm14164,6.716283898990392e-05
Ppp4r1l-ps,6.676261888349069e-05
9630028H03Rik,6.65194554567396e-05
Gm11280,6.649998891487077e-05
2210408F21Rik,6.647929464284338e-05
Gm15787,6.643104172900953e-05
9430091E24Rik,6.623182211188203e-05
4930599N23Rik,6.622481620476569e-05
4930440I19Rik,6.595466181728182e-05
A230056P14Rik,6.594702959448883e-05
Gm15601,6.591719434957956e-05
Gm17200,6.576620632687999e-05
Gm13008,6.509934809033377e-05
Gm20528,6.49913821257016e-05
A230108P19Rik,6.491972143960477e-05
Gm13974,6.463006689346974e-05
Gm16365,6.457565743633986e-05
Gm12359,6.424314981787092e-05
linc1583,6.330467904720263e-05
Gm17300,6.302439493103178e-05
A730017L22Rik,6.297465778789422e-05
AC159313.1,6.243524297196059e-05
Gm11669,6.243524297196059e-05
B930095G15Rik,6.230773407591685e-05
4933407K13Rik,6.214206883482768e-05
linc1385,6.208463677569531e-05
2900089D17Rik,6.205204780255165e-05
Gm14858,6.192696535286747e-05
NONMMUG039011,6.185590406998409e-05
