lncRNA,score
HOTAIR,0.007106787
Xist,0.006644725
Gas5,0.000648608
Kcnq1ot1,0.000560125
Malat1,0.000516916
5430416N02Rik,0.000483577
Meg3,0.000422516
9430008C03Rik,0.000296337
AC152164.1,0.000292419
2410006H16Rik,0.000287666
H19,0.000233846
Gm11974,0.000225035
Gm13483,0.000211248
Tug1,0.000207983
Gm21960,0.000204033
4933404O12Rik,0.000201617
2610307P16Rik,0.000193882
1700123O12Rik,0.000193803
Gm15941,0.000189724
Gm16023,0.000183575
2410004N09Rik,0.000179065
5330434G04Rik,0.00017823
6820431F20Rik,0.000174873
4933430M04Rik,0.000170442
NONMMUG012545,0.00016184
4930469K13Rik,0.000157914
BC042782,0.000151349
linc1458,0.000150361
Gm12239,0.00015009
1110038B12Rik,0.000149769
4930555B11Rik,0.000147319
7SK,0.000147014
AY172335.12,0.000147014
NONMMUG044341,0.000147014
6720401G13Rik,0.000146036
Rmrp,0.00014208
Gm13147,0.000141014
Gm15614,0.000131967
4930405A21Rik,0.000130325
C130046K22Rik,0.000127315
AC107641.2,0.000124776
linc1317,0.000121883
Gm17106,0.000115328
3010001F23Rik,0.000113174
Gm12367,0.000113115
AC102906.1,0.000109264
Gm12940,0.000106465
Gm2373,0.00010585
Gm16516,0.000105829
Airn,0.000105518
9530036O11Rik,0.000104104
Gm12992,0.00010375
Gm20417,0.000103711
AI854517,0.000102777
linc1343,0.000102352
C130071C03Rik,0.000102247
1500017E21Rik,0.000101186
4930586N03Rik,0.000100735
1300002E11Rik,0.000100547
9330159M07Rik,9.95E-05
Gm15564,9.88E-05
Fendrr,9.75E-05
Sox2ot,9.73E-05
linc1476,9.57E-05
4930557F10Rik,9.57E-05
AY172335.3,9.48E-05
G630018N14Rik,9.43E-05
4632419I22Rik,9.27E-05
2610035D17Rik,9.20E-05
3110056K07Rik,9.16E-05
4930405P13Rik,9.14E-05
Gm11602,9.03E-05
NONMMUG001554,9.03E-05
Gm17494,8.92E-05
A230004M16Rik,8.91E-05
5530601H04Rik,8.90E-05
2900076A07Rik,8.76E-05
AC137513.1,8.65E-05
C230035I16Rik,8.43E-05
AC102570.1,8.41E-05
AC109202.1,8.41E-05
NONMMUG019700,8.41E-05
AC107822.5,8.40E-05
4930511M06Rik,8.36E-05
1700084C06Rik,8.30E-05
AC121821.1,8.21E-05
Gm14634,8.20E-05
0610043K17Rik,8.16E-05
Gm16599,8.10E-05
E130307A14Rik,8.02E-05
Gm11508,7.95E-05
6330549D23Rik,7.87E-05
1700016P03Rik,7.74E-05
Tsix,7.66E-05
Gm4876,7.66E-05
AC134826.1,7.63E-05
Scarna13,7.60E-05
Gm14005,7.58E-05
Gm11337,7.52E-05
Gm12592,7.50E-05
AU019990,7.46E-05
4930545L23Rik,7.41E-05
Gm17344,7.40E-05
A930007I19Rik,7.40E-05
Gm13507,7.39E-05
Gm15441,7.36E-05
D030028A08Rik,7.36E-05
A230103J11Rik,7.34E-05
Gm4117,7.34E-05
Gm14643,7.31E-05
1700045H11Rik,7.30E-05
Gm16178,7.29E-05
4931440J10Rik,7.27E-05
Gm12648,7.26E-05
Gm11867,7.25E-05
Gm15645,7.22E-05
4930593A02Rik,7.08E-05
9230111E07Rik,7.04E-05
D030047H15Rik,7.01E-05
9130019P16Rik,6.98E-05
Gm14661,6.94E-05
BC006965,6.91E-05
Gm13402,6.81E-05
A930015D03Rik,6.78E-05
Gm11944,6.77E-05
Gm15283,6.75E-05
AC115823.1,6.75E-05
Nron,6.75E-05
Gm14066,6.72E-05
Gm14164,6.72E-05
9630028H03Rik,6.65E-05
Gm11280,6.65E-05
2210408F21Rik,6.65E-05
Gm15787,6.64E-05
9430091E24Rik,6.62E-05
4930599N23Rik,6.62E-05
4930440I19Rik,6.60E-05
A230056P14Rik,6.59E-05
Gm15601,6.59E-05
Gm17200,6.58E-05
Gm13008,6.51E-05
Gm20528,6.50E-05
A230108P19Rik,6.49E-05
Gm13974,6.46E-05
Gm16365,6.46E-05
Gm12359,6.42E-05
linc1583,6.33E-05
Gm17300,6.30E-05
A730017L22Rik,6.30E-05
AC159313.1,6.24E-05
Gm11669,6.24E-05
B930095G15Rik,6.23E-05
4933407K13Rik,6.21E-05
linc1385,6.21E-05
2900089D17Rik,6.21E-05
Gm14858,6.19E-05
NONMMUG039011,6.19E-05
Gm12514,6.18E-05
4933406I18Rik,6.18E-05
A730081D07Rik,6.16E-05
5830444B04Rik,6.13E-05
Gm15581,6.10E-05
Gm17058,6.09E-05
AV039307,6.08E-05
1700091E21Rik,6.06E-05
4930405D11Rik,6.05E-05
A230072C01Rik,6.05E-05
Gm8378,6.04E-05
E130102H24Rik,6.03E-05
1700006P19Rik,6.02E-05
Gm2245,6.01E-05
Gm17029,6.00E-05
Gm16586,6.00E-05
Gm11978,5.98E-05
Gm15938,5.98E-05
Gm13490,5.96E-05
1700020I14Rik,5.96E-05
Gm12296,5.95E-05
Gm15680,5.92E-05
Gm13890,5.92E-05
Gm16320,5.92E-05
linc1509,5.92E-05
4933431K23Rik,5.90E-05
A730090N16Rik,5.87E-05
A930012L18Rik,5.80E-05
4933423P22Rik,5.80E-05
Gm15491,5.79E-05
2810008D09Rik,5.79E-05
2900056M20Rik,5.79E-05
B230216N24Rik,5.77E-05
Gm15398,5.73E-05
Gm15336,5.71E-05
R74862,5.70E-05
Gm10649,5.69E-05
Gm15816,5.67E-05
Gm15623,5.67E-05
5430405H02Rik,5.66E-05
Gm13912,5.64E-05
Gm13629,5.64E-05
2410133F24Rik,5.63E-05
Gm20536,5.60E-05
A530013C23Rik,5.59E-05
