lncRNA,score
NONMMUG033079,0.9904652835061183
NONMMUG018618,0.9609883287747251
NONMMUG021608,0.9447783740072145
Xist,0.9367847281971737
NONMMUG016889,0.9336522987468118
Gm17110,0.9324803295020899
NONMMUG015781,0.9271606277117547
Gm10849,0.9271216625950582
Gm20402,0.9264979110886615
Gm9988,0.9226161326528144
NONMMUG042723,0.9137153559703771
Gm9806,0.9134521935616972
NONMMUG006090,0.9125826212729656
NONMMUG016749,0.9117560886123002
NONMMUG044043,0.9117024180493067
NONMMUG018329,0.9111719909826889
AY036118,0.90880104182369
Gm17092,0.9082433193208185
NONMMUG039251,0.9069937525167581
Gm15525,0.9051502029235943
NONMMUG006214,0.9023270718511462
1700010K24Rik,0.8917990509159075
Gm14205,0.8902649444792593
NONMMUG012982,0.8887714838696861
Gm12523,0.8871102474709928
NONMMUG005244,0.8834062338423166
NONMMUG027298,0.8823339527759869
Scarna2,0.8821895341479549
NONMMUG003444,0.87940332863071
NONMMUG032560,0.8770887123149729
NONMMUG025036,0.876884755301954
NONMMUG010001,0.8762429283739273
NONMMUG015421,0.874323398380771
NONMMUG033962,0.8737543214592434
NONMMUG003005,0.8735356942099491
NONMMUG020644,0.8735281304891762
NONMMUG016885,0.8731705955823479
Gm13063,0.8720883962208886
NONMMUG000737,0.8699885553951161
NONMMUG037260,0.8696826528148888
NONMMUG003362,0.86794162006033
RP23-81C12.1,0.864060751700516
AL732590.1,0.862681940224267
NONMMUG015682,0.8592423486006757
NONMMUG018449,0.8585368057163799
RPI002_013093,0.8582070756100032
NONMMUG016716,0.8580901966986771
NONMMUG011435,0.8577000876675813
NONMMUG045864,0.8565943891245141
NONMMUG042384,0.8555334624877325
NONMMUG023737,0.8546716847024542
NONMMUG041736,0.8545965842110204
NONMMUG006615,0.8544643709404444
NONMMUG009019,0.8534606221976021
NONMMUG007804,0.8532985315292414
RPI002_013780,0.8519859443769109
RPI002_014090,0.8518418044414859
RPI002_011379,0.8512158506629327
NONMMUG018155,0.8508469717152762
NONMMUG028965,0.8476255110380687
NONMMUG014376,0.8438086394215134
NONMMUG014769,0.8428743364358219
NONMMUG035666,0.8423166608264524
NONMMUG002714,0.8414689600065107
NONMMUG020348,0.8387802808310366
NONMMUG041905,0.8375527187633921
NONMMUG007645,0.8371699110339312
NONMMUG032976,0.8366898607166556
NONMMUG035060,0.8361027187251269
NONMMUG026569,0.8285592143656921
NONMMUG030988,0.8282716404344554
NONMMUG006134,0.8241063902532484
NONMMUG015229,0.8218782146152005
NONMMUG015170,0.8212206125587647
NONMMUG023156,0.8147370197942823
NONMMUG003706,0.813601481342331
NONMMUG021629,0.8095442409766958
NONMMUG018602,0.8094523872727826
NONMMUG044545,0.8083239467342069
RPI002_012500,0.8082558595852403
NONMMUG036385,0.8076119018889781
NONMMUG029194,0.8062528370188434
Gm16551,0.8059096416538644
NONMMUG016977,0.8046127348064714
AC147048.1,0.804576409366181
NONMMUG042609,0.8033117709909581
NONMMUG020055,0.8026619441972653
Gm11647,0.8018348356789853
NONMMUG040935,0.8008037369353567
NONMMUG019302,0.8003128253617128
Gm15222,0.7997965354701692
NONMMUG041147,0.7976278889998619
NONMMUG038557,0.7969000649908243
NONMMUG020076,0.7966008555624562
NONMMUG008610,0.7964794771156464
Gm13171,0.7956353159476863
NONMMUG010623,0.7953188670223557
NONMMUG028184,0.7950111809394006
NONMMUG010003,0.7929550831820981
NONMMUG034479,0.7920031167127514
NONMMUG002642,0.7916581493866832
NONMMUG039246,0.7915874384433786
NONMMUG013210,0.7912851367789401
NONMMUG027328,0.790327319947153
NONMMUG015515,0.7892820499685611
NONMMUG026007,0.7874925255972703
2810410L24Rik,0.7865299406250706
NONMMUG042604,0.7859768272572076
Gm9939,0.7855181334921854
NONMMUG037806,0.785239626256181
NONMMUG021532,0.7832660564344539
NONMMUG040411,0.7828493371826386
NONMMUG042740,0.7812834981353584
Gm12957,0.7805883122805254
NONMMUG037771,0.7804290648113973
NONMMUG012823,0.7796000148855698
NONMMUG003555,0.7789040739557165
NONMMUG000026,0.778059491600509
NONMMUG035641,0.7774250627194884
NONMMUG034126,0.7754366036012872
B330016D10Rik,0.7737175000014451
RPI002_012330,0.7717227235910831
NONMMUG032136,0.7716959127261194
NONMMUG017804,0.7705638982589303
NONMMUG015035,0.7687745889346784
NONMMUG019841,0.7687073059865962
NONMMUG036403,0.7684752310857268
NONMMUG009948,0.7683016973563529
RPI002_013322,0.7682768609759077
NONMMUG020985,0.7668338188678925
RPI002_012022,0.766691056331944
NONMMUG000387,0.7663646206099876
NONMMUG008259,0.7661561483682069
4732444A12Rik,0.7654676736670933
NONMMUG003073,0.7629577629738036
NONMMUG043674,0.7625192150744791
NONMMUG018845,0.7609955631648135
NONMMUG039470,0.7605936528018623
NONMMUG013316,0.7604947377615952
NONMMUG018910,0.7604300677633703
NONMMUG037131,0.7604284058034267
NONMMUG006239,0.7591972209718166
NONMMUG031436,0.7584608675671316
RPI002_010092,0.7581622970353316
NONMMUG027759,0.757666563889291
NONMMUG041024,0.7569082660171804
Gm20421,0.7558904468874822
NONMMUG015169,0.7556559462162769
Gm12895,0.7555004315146266
NONMMUG038447,0.7544473827673858
NONMMUG009330,0.7533912139929264
NONMMUG025216,0.7533758291165337
NONMMUG043033,0.7532076415743238
NONMMUG017725,0.7519737891397477
AC123834.1,0.7516533484555861
NONMMUG021545,0.7514912403214383
NONMMUG027107,0.7504079380075446
NONMMUG042786,0.7494159601829262
RPI002_012075,0.7491608523199358
NONMMUG000266,0.748391957308014
NONMMUG021985,0.7480288883654549
NONMMUG022099,0.7480032616544989
NONMMUG007201,0.7479894114206823
NONMMUG014057,0.7464664625209018
NONMMUG038085,0.7453445427907835
NONMMUG013742,0.7447724373357498
NONMMUG043829,0.7447070013411847
Gm12896,0.7445815156012582
NONMMUG032479,0.7422984515029509
Gm16163,0.7417911411299913
NONMMUG026209,0.7415848879817182
NONMMUG040004,0.7414096706936909
NONMMUG032819,0.7408596418832274
RPI002_009713,0.7407924169488467
NONMMUG012546,0.7407922368163032
NONMMUG040888,0.7389657589179722
Gm9385,0.738565362487754
NONMMUG000867,0.738448437673691
NONMMUG016043,0.7383958737649493
NONMMUG002807,0.7381590449277369
linc1317,0.7375354988345842
9230111E07Rik,0.7366953453712249
NONMMUG016431,0.7366549628344823
NONMMUG025918,0.7362352014758836
NONMMUG032455,0.7361145135594719
NONMMUG025879,0.7360545655591708
NONMMUG001826,0.7354813176524497
NONMMUG009491,0.735214163593579
NONMMUG028302,0.7337901576036732
AC153569.1,0.7320555777159325
AC131759.1,0.7318416816320504
Gm26315,0.730310926754098
NONMMUG042882,0.7301379441256146
NONMMUG011028,0.7298056766727046
Gm10497,0.7290186570441403
NONMMUG036795,0.7288684744305832
NONMMUG034985,0.7281871919354406
NONMMUG040996,0.7262660422001141
RP24-242N1.1,0.726049846537445
NONMMUG015422,0.7257916635861333
NONMMUG004148,0.7256591741582503
NONMMUG004108,0.7255673233365781
NONMMUG043519,0.7254556796965154
Gm14964,0.7249896641470165
NONMMUG016302,0.7244434818445296
NONMMUG044107,0.7244360485136483
NONMMUG039199,0.7237948019836972
Gm14486,0.7235346494514073
NONMMUG003766,0.7233254791110403
NONMMUG024102,0.7230782366943491
NONMMUG026722,0.7226667470113367
Gm13620,0.7226022506648947
7SK,0.7218908188141587
1110035H17Rik,0.7217204997207228
NONMMUG028821,0.7210588210993913
NONMMUG006945,0.7210534509156529
NONMMUG031588,0.7205554924435177
NONMMUG038715,0.7204018214543848
NONMMUG016976,0.7202045090509362
NONMMUG019498,0.720203186100828
NONMMUG026351,0.7195301144115508
NONMMUG027950,0.7191775315182027
AC136147.1,0.7178184242468499
